content,username,replyto,permalink,time
"Panzer: “Strange tanks lying in ponds distributing ammo is no basis for a system of government!”,pic.twitter.com/1HlIQzjxe0",PersianRose1,,https://twitter.com/PersianRose1/status/1024593011307511808,1533116984
These Loch Ness Monster sightings are getting ridiculous! :p,PersianRose1,,https://twitter.com/PersianRose1/status/1024872841815121921,1533183701
"Also Panzer: ""You can't expect to wield supreme executive power just 'cause some watery tank once shot a shell at you!""",DirkdeVos,"PersianRose1,Jozz_F",https://twitter.com/DirkdeVos/status/1024597469466976257,1533118047
"That’s a Panzer Kampfwagen III or IV. Used in WWII in the Blitzkrieg. The III became obsolete after 1942. So if this picture is from 1943 or so, you might assume it’s the PzKfW IV. ,#,sonotastrangetankatall",erikmhartman,PersianRose1,https://twitter.com/erikmhartman/status/1024595699462270976,1533117625
"Overthrow the system. Time for Peter Rabbit Tank Killer.,https://,youtu.be/A6-YPiqOh_w, ",Cowcakes,PersianRose1,https://twitter.com/Cowcakes/status/1024640634617978880,1533128338
"Panzer:,https://,youtu.be/01-2pNCZiNk, ",resistingtheDon,PersianRose1,https://twitter.com/resistingtheDon/status/1024610415043653632,1533121133
Help Help Im being repressed. Come see the violence inherit in the system.,ThPeterLockhart,PersianRose1,https://twitter.com/ThPeterLockhart/status/1024596830401654785,1533117895
