username,date,retweets,favorites,text,geo,mentions,hashtags,tweetid,conversationid,replyto,permalink,imagelink
"thedaisywheels","2018-07-11-10:35",0,2,"All of California will be returned to the ocean like an ancient Viking funeral.","","","","1017054792089137152","1017043359209345025","TheRealWBTC","https://twitter.com/thedaisywheels/status/1017054792089137152",""
"nschaetti","2017-12-23-03:50",0,0,"California Family Cited for Holding Viking Funeral on Local Lake Is Fake News # reservoircomputing # ANN # RNN # AI # IA https://www.business2community.com/us-news/california-family-cited-holding-viking-funeral-local-lake-fake-news-01861132 …","","","# reservoircomputing # ANN # RNN # AI # IA","944490420913999872","","","https://twitter.com/nschaetti/status/944490420913999872",""
"_XcL_","2017-12-21-12:37",0,0,"It's no Viking funeral but, it's a fitting end. # cya @Arden Town, California https://www.instagram.com/p/Bc-RGEmF0oM/","","","# cya","943898264746672128","","","https://twitter.com/_XcL_/status/943898264746672128",""
"spookycorina","2017-10-11-15:13",0,5,"California is on fire can't wait till we break away from the rest of the US and sink ito the ocean like one big group Viking funeral","","","","918192755054075904","","","https://twitter.com/spookycorina/status/918192755054075904",""
"checayy","2017-07-15-23:32",0,1,"its ok, california's excessive heat will mimic the fire of a viking funeral","","","","886428401967407104","886425678907752450","jungdraws","https://twitter.com/checayy/status/886428401967407104",""
"ElkhornTrading","2017-06-15-07:59",0,0,"It was a special day for everyone... Family Cited For Viking Funeral on California Lake https://www.ncscooper.com/cascade-shores-family-cited-for-viking-funeral-at-scotts-flat-lake/#.WUJ2Sj3seDI.twitter …","","","","875321849399328768","","","https://twitter.com/ElkhornTrading/status/875321849399328768",""
"RachaelsMusings","2017-06-14-15:25",0,0,"This story just gets better and better: family cited for holding viking funeral on a lake (story out of California) https://www.ncscooper.com/cascade-shores-family-cited-for-viking-funeral-at-scotts-flat-lake/ …","","","","875071805677088770","","","https://twitter.com/RachaelsMusings/status/875071805677088770",""
"NikkiBlakk","2017-06-13-17:45",0,2,"A California family is in hot water for an unpermitted Viking Funeral. Is this a thing? Can I get one?? # MetalAF http://fb.me/7N1f4v4nH","","","# MetalAF","874744492896768000","","","https://twitter.com/NikkiBlakk/status/874744492896768000",""
"theitstrategist","2017-06-13-04:11",0,0,"California Family Cited for Holding Viking Funeral on Local Lake Is Fake News http://dlvr.it/PLvDVl pic.twitter.com/iAI3rwuiqt","","","","874539627662594048","","","https://twitter.com/theitstrategist/status/874539627662594048","https://pbs.twimg.com/media/DCL9J7OUIAAIJ8P.jpg"
"eugenplaton","2017-06-13-03:36",0,0,"California Family Cited for Holding Viking Funeral on Local Lake Is Fake News http://dlvr.it/PLtwQd # US_News # b2c, # b2b, # seopic.twitter.com/ULQVucfB3y","","","# US_News # b2c # b2b # seopic","874530794626142208","","","https://twitter.com/eugenplaton/status/874530794626142208","https://pbs.twimg.com/media/DCL1HyQVwAEuCpz.jpg"
"IntrepidMarketr","2017-06-13-03:00",0,0,"California Family Cited for Holding Viking Funeral on Local Lake Is Fake News http://feedproxy.google.com/~r/B2CMarketingInsider/~3/xmcAWL6R0gM/california-family-cited-holding-viking-funeral-local-lake-fake-news-01861132 …pic.twitter.com/IBaesR0VO1","","","","874521930900148224","","","https://twitter.com/IntrepidMarketr/status/874521930900148224","https://pbs.twimg.com/media/DCLtD4kXcAAQwRB.jpg"
