content,username,replyto,permalink,time
".,@,HillaryClinton, backer paid $500G to fund women accusing ,#,Trump, of sexual misconduct before Election Day, report says,http://www.,foxnews.com/politics/2017/,12/31/hillary-clinton-backer-paid-500g-to-fund-women-accusing-trump-sexual-misconduct-before-election-day-report-says.html, ,…",FoxNews,,https://twitter.com/FoxNews/status/947647493780770816,1514771743
"They're trying really hard to discredit Hillary because they know she's the true president. When Trump/Putin and gang are found out, the people will insist she take her rightful place.",1PercenterHater,"FoxNews,HillaryClinton",https://twitter.com/1PercenterHater/status/947649046654660608,1514772113
What drugs are you on Jesus,mousymama,"1PercenterHater,FoxNews,HillaryClinton",https://twitter.com/mousymama/status/947672848423882752,1514777788
He has a rich fantasy life.,Glasscrone,"mousymama,1PercenterHater",https://twitter.com/Glasscrone/status/947955037745111042,1514845067
"Is this really how you want to end 2017? I am not amazed at anything FNC does anymore, but I will say Secretary Clinton has shown remarkable poise in the face of your constant criticism, and would have made a far, far superior President of the United States. Thank you Hillary.",JonathanStrouse,"FoxNews,HillaryClinton",https://twitter.com/JonathanStrouse/status/947648823173795842,1514772060
She should be in jail VERY SOON...,BjsStephens,"JonathanStrouse,FoxNews,HillaryClinton",https://twitter.com/BjsStephens/status/947669384708763648,1514776962
Because of 2 already investigated events....what a sense of humor...,JonathanStrouse,"BjsStephens,FoxNews,HillaryClinton",https://twitter.com/JonathanStrouse/status/947670544631193600,1514777239
pic.twitter.com/dPAUgHEKUW,Heleneafernande,"JonathanStrouse,BjsStephens",https://twitter.com/Heleneafernande/status/947727377035034624,1514790789
Really like anybody's surprised what Hillary would do! She will do anything for her own sick Justice! SR--,LOZ41666248,"Heleneafernande,JonathanStrouse",https://twitter.com/LOZ41666248/status/948018146883063808,1514860114
"You know, Justice is blind,and free, until Jeff Sessions brings back debtor prisons.As to Hillary,she is a private citizen like the rest of us. Should the government,media, or both, come after you? Thats what you are wanting, after all. In the US, we do not prosecute the defeated",JonathanStrouse,"LOZ41666248,Heleneafernande",https://twitter.com/JonathanStrouse/status/948019185644339200,1514860361
It was anybody else it wouldn't work that way!,LOZ41666248,"JonathanStrouse,Heleneafernande",https://twitter.com/LOZ41666248/status/948020065710104576,1514860571
"Again, incorrect. The judicial system, without bias, works for us.",JonathanStrouse,"LOZ41666248,Heleneafernande",https://twitter.com/JonathanStrouse/status/948021575609176065,1514860931
