content,username,replyto,permalink,time
"William Shatner is biting his tongue under President Trump: ""I won't do anything that might get me deported"" ,http://,thebea.st/2rxa8q6, ,pic.twitter.com/ddAphVPiIv",thedailybeast,,https://twitter.com/thedailybeast/status/869127457873567744,1496051108
He might be OK At least Shatner is Caucasian although from Quebec which Trump might consider a negative because the majority speak French,xscoutie,thedailybeast,https://twitter.com/xscoutie/status/869141015676022784,1496054340
"#,Trump, considers Canadians to be ""snow Mexicans""",DrFrankenshroom,"xscoutie,thedailybeast",https://twitter.com/DrFrankenshroom/status/869153455956426752,1496057306
So america is no longer a free country. Well done trumpists.,mihaelaor,thedailybeast,https://twitter.com/mihaelaor/status/869130054000824320,1496051727
"We came to this now. ""I won't do anything that might get me deported"". Terrible.",AlexPreiss4,thedailybeast,https://twitter.com/AlexPreiss4/status/869128642671951872,1496051390
There is no character of 'Doctor Spock' in Star Trek. Literally the most elementary knowledge about the show has eluded you.,ofdiscontent,thedailybeast,https://twitter.com/ofdiscontent/status/869206543929159680,1496069963
"He's actually said repeatedly he doesn't involve himself in politics. Why lump him in with your Trump bashing agenda? ,@,WilliamShatner",kbrochhausen,thedailybeast,https://twitter.com/kbrochhausen/status/869130414329409540,1496051813
"For Pete's sake,his Tweet in your article was in response to msg on a candy bar, Craig Modderno. Why does ,#,media, need to deceive the public?",realhumanrights,thedailybeast,https://twitter.com/realhumanrights/status/870676606087573505,1496420453
"Sorry, that was a bad interview.",Jim_Rosenow,thedailybeast,https://twitter.com/Jim_Rosenow/status/869183069374353408,1496064367
Seems like the Honored  thing to do is Become a Citizen or Deport yourself to the Country you love So!!   Don't be Fickle. Make a Choice !!!,Landy_Cason,thedailybeast,https://twitter.com/Landy_Cason/status/869178028118732800,1496063165
"Of course he wouldn't be deported - he would just say 'Beam me up Scottie"" ",Chris5pl,thedailybeast,https://twitter.com/Chris5pl/status/869153952301948928,1496057424
"This is what privilege looks like. Let the vulnerable fall, for goodness sake, don't risk getting deported. Shameful.",AliceEngelmore,thedailybeast,https://twitter.com/AliceEngelmore/status/869153725335691264,1496057370
And here I was wondering when Shatner was going to chime in,bigreenwa06,thedailybeast,https://twitter.com/bigreenwa06/status/869151551163518976,1496056852
obviously hates americans. Still holding a grudge against us for world war 2,edisn,thedailybeast,https://twitter.com/edisn/status/869140048737738752,1496054110
Idiot,NotoriousBob5,thedailybeast,https://twitter.com/NotoriousBob5/status/869130492553166848,1496051831
