content,username,replyto,permalink,time
"Countries that have treated us unfairly on trade for years are all coming to Washington to negotiate. This should have taken place many years ago but,
as the saying goes, better late than never!",realDonaldTrump,,https://twitter.com/realDonaldTrump/status/1021713905020817413,1532430552
Finally we have a president that’s going to put AMERICA FIRST!,The_Trump_Train,realDonaldTrump,https://twitter.com/The_Trump_Train/status/1021714373142892544,1532430663
"True!,pic.twitter.com/2pP8utitFZ",The_Trump_Train,"The_Trump_Train,realDonaldTrump",https://twitter.com/The_Trump_Train/status/1021714585248825344,1532430714
"#,WeThePeople, TRUST ,@,POTUS, ,@,realDonaldTrump, ,

Americans BELIEVE IN ,#,TRUMP,

We will be patient. ,#,Tariffs,

,#,WednesdayWisdom, 

,#,USA, ,#,MAGA, ,#,China, ,#,EuropeanUnion, ,#,WednesdayMotivation, ,#,QAnon, 

We do not care about ,#,TrumpTapes, ,#,LannyDavis, ,#,Cohen, ,@,cnn, is a national disgrace, ,#,cnn,pic.twitter.com/1AscCfmj9c",QualitySMC,realDonaldTrump,https://twitter.com/QualitySMC/status/1021986363225395202,1532495511
"Thank you .,@,realDonaldTrump, We appreciate all your hard work! America is winning again because of what you are doing!",Boyd_2650,"QualitySMC,realDonaldTrump",https://twitter.com/Boyd_2650/status/1022093349321433088,1532521018
,QualitySMC,"Boyd_2650,realDonaldTrump",https://twitter.com/QualitySMC/status/1022202569911885826,1532547058
You are a great leader and an outstanding president.  I am sorry you have so many “American” quislings trying to make it as hard as possible for you to do your job...for free.,RyanSeven,realDonaldTrump,https://twitter.com/RyanSeven/status/1022002679726452736,1532499401
pic.twitter.com/2F9rppnvDA,Karina121,realDonaldTrump,https://twitter.com/Karina121/status/1021853093057548289,1532463737
"You should have been impeached a long time ago. But, hey, better late than never!",hohumtweets,realDonaldTrump,https://twitter.com/hohumtweets/status/1021714261591044096,1532430637
"Complete Utter Unadulterated ,#,LiesPeopleTellThemselves, 

Canada $9B Trade SURPLUS 
Russia $7B Trade Deficit 
NO Deal except to Hack Democracy

ALL DOUBLED Down AGAINST ,#,Trump, EU China Canada ,#,AbuseOfWarPowers, ,#,TariffScam, to Manipulate Markets Profiteering.  

,#,ImpeachTrump,pic.twitter.com/xATKAyQisX",Unconquerable,realDonaldTrump,https://twitter.com/Unconquerable/status/1022186527567372288,1532543234
pic.twitter.com/0guhy6zDBJ,Mike2Tkd,realDonaldTrump,https://twitter.com/Mike2Tkd/status/1021982921211740164,1532494690
We've known this for 909 days,StoneBall3,"Mike2Tkd,realDonaldTrump",https://twitter.com/StoneBall3/status/1022001228413329410,1532499055
I've known it since 1987!  Where is my calculator?,houdini77,"StoneBall3,Mike2Tkd,realDonaldTrump",https://twitter.com/houdini77/status/1022089551903424512,1532520113
Anybody who lives in New York knows this,hbmax1997,"houdini77,StoneBall3",https://twitter.com/hbmax1997/status/1022238559074439168,1532555639
pic.twitter.com/DGQpjSeshw,DeepStateExpose,realDonaldTrump,https://twitter.com/DeepStateExpose/status/1021883319548628999,1532470943
Be careful what you wish for Trump. ,PaulineSimmond3,realDonaldTrump,https://twitter.com/PaulineSimmond3/status/1021859792820822016,1532465334
"Wow, even Canadian wants to put their 5 cents into US business.",ClarkLiliya,"PaulineSimmond3,realDonaldTrump",https://twitter.com/ClarkLiliya/status/1021916902090633216,1532478950
"Absolutely, we’re your next door neighbours ",PaulineSimmond3,"ClarkLiliya,realDonaldTrump",https://twitter.com/PaulineSimmond3/status/1021928377765294080,1532481686
Why not?  Trump feels the need to add his 5 cents on everything.,Harrowdown2018,"PaulineSimmond3,ClarkLiliya,realDonaldTrump",https://twitter.com/Harrowdown2018/status/1021942039347388426,1532484943
When the GNP is 5% and your 401k is up 25% and your wages are up 20% I'm just getting more done in a year and a half then the last three or four presidents combined let's see where we're at 2 years from now I'll be dancing The Jig,Picasso1948,realDonaldTrump,https://twitter.com/Picasso1948/status/1021871730506137600,1532468180
"First of all, you're referring to the GDP, not the GNP.  And the GDP is nowhere close to 5%.  I won't even address the other parts of your comment because you clearly have no idea what you're talking about.",Harrowdown2018,"Picasso1948,realDonaldTrump",https://twitter.com/Harrowdown2018/status/1021953544902111232,1532487686
pic.twitter.com/3ezYUXHBdR,coolghost101,realDonaldTrump,https://twitter.com/coolghost101/status/1021714184440926209,1532430618
pic.twitter.com/BHkwwz3i4D,JonnyWinklerEh,"coolghost101,realDonaldTrump",https://twitter.com/JonnyWinklerEh/status/1021714756019912704,1532430755
John S your leader Justin Trudeau...is losing his liberal mind please find your basement..Take a red pill,IreneGiezyng,"JonnyWinklerEh,coolghost101",https://twitter.com/IreneGiezyng/status/1021719375727022080,1532431856
pic.twitter.com/9jKdf6CuK0,JonnyWinklerEh,"IreneGiezyng,coolghost101",https://twitter.com/JonnyWinklerEh/status/1021720064842715136,1532432020
"Wait a minute...We can't afford to fund healthcare or education. But, we can give welfare to farmers due to your trade war? Creating an economic problem, then solving it on the backs of tax prayers is not good for anyone.",chrisaward1,realDonaldTrump,https://twitter.com/chrisaward1/status/1022005822413524998,1532500150
"If you had half a brain, you would realize that tariff do generate income that's being used to offset the loses they have caused to our farmers. Higher education and insurance cost is caused by demand, nothing to do with government.",ompastor,"chrisaward1,trixygator,realDonaldTrump",https://twitter.com/ompastor/status/1022147335923687424,1532533890
"I do understand that. I also understand that point is moot when other countries are not buying ag products due to the tariffs. Exports down, sales down, income down, losses up. I used my other half brain on that one.",chrisaward1,"ompastor,trixygator,realDonaldTrump",https://twitter.com/chrisaward1/status/1022175407435657217,1532540582
They are still selling ag products in less quantities because of the tariffs. What do you suggest we do to balance our commerce deficit? We have more money going out than coming in because other countries do tax our products. We keep borrowing to survive and that won't last long.,ompastor,"chrisaward1,trixygator,realDonaldTrump",https://twitter.com/ompastor/status/1022176822828642304,1532540920
"I expect him to negotiate. He claims to be the best negotiator. He wrote a book on making deals. He should be able to negotiate a new deal without putting the financial burden on the backs of farmers and tax payers. He is supposed to be that good, right?",chrisaward1,"ompastor,trixygator,realDonaldTrump",https://twitter.com/chrisaward1/status/1022200060833148931,1532546460
"So to win a trade war for the farmers you have to cut their income then pay them with tax payer money?   When what the hell do we win?

,#,25thAmendmentNow, 
,#,CowardlyLyin",DonaldJFudd,realDonaldTrump,https://twitter.com/DonaldJFudd/status/1021869560998162433,1532467663
pic.twitter.com/wB1c6F1Npd,hUnedited,realDonaldTrump,https://twitter.com/hUnedited/status/1021945859087380480,1532485854
"Sir:  Join me in championing Whistleblower Protection & Accountability Act for Excepted service (FBI, CIA, NSA..). Were Act in-place, many would come forward, ending fed gvt/IC malfeasance & political cabals. I'm fmr FBI & whistleblower who penned:,http://,thehill.com/blogs/pundits-,blog/homeland-security/335208-the-case-for-protecting-americas-intelligence-agency#.WTSmFYd_54I.twitter, ,…,pic.twitter.com/h7wTCxW7S7",M_F_McMahon,"realDonaldTrump,klsKS",https://twitter.com/M_F_McMahon/status/1023742706625929216,1532914256
No one is coming to see you and if they are they are leaving with a better deal because as a negotiator and a business boy; you su k,immigrantdfndr,realDonaldTrump,https://twitter.com/immigrantdfndr/status/1021933307880251392,1532482861
" FIRE ROSENSTEIN,https://www.,americanthinker.com/articles/2018/,01/rosenstein__agent_of_the_deep_state_coup.html#.WnBSBZKTyms.twitter?utm_campaign=crowdfire&utm_content=crowdfire&utm_medium=social&utm_source=twitter#277987645-tw#1517321703532, ,…",MAGAcovfefe2020,realDonaldTrump,https://twitter.com/MAGAcovfefe2020/status/1021714177453379584,1532430617
" ALL ARE IMPLICATED IN THE URANIUM ONE SELLOUT ,pic.twitter.com/mxliRPb0Sh",MAGAcovfefe2020,"MAGAcovfefe2020,realDonaldTrump",https://twitter.com/MAGAcovfefe2020/status/1021714544580808706,1532430704
