username,date,retweets,favorites,comments,text,geo,mentions,hashtags,tweetid,conversationid,replyto,permalink,imagelink
"chickenproduc","2018-05-11-14:15",0,1,0,"These murders killed unarmed Americans in churches, schools, concerts, all arrested humanely. In fact, 1st murderer 2 left, JUDGE said 2 RELATIVES OF 9 VICTIMS day after, THEY should remember killer’s parents were hurting, too. Yes, the judge said that to the victim’s relatives pic.twitter.com/s58dB17y8F","","","","995004496337035264","994622066870583297","Cleonetti soledadobrien WaffleHouse","https://twitter.com/chickenproduc/status/995004496337035264","https://abs.twimg.com/emoji/v2/72x72/1f621.png"
"blerdconDC","2018-05-04-21:23",0,1,0,"I liked a @ YouTube video http://youtu.be/rJtEtlxIrWc?a Prime News : Waffle House Killer Finally Arrested + Universal FanCon Cancelled and","","@ YouTube","","992575441847267328","","","https://twitter.com/blerdconDC/status/992575441847267328",""
"WeCU12","2018-05-04-20:27",0,1,0,"By far, this is the most accurate take on the aftermath of the Waffle House shootings. (Plus, unlike the BLK unarmed vandal suspect recently shot dead by police, this WHT mass killer was safely arrested.) Any efforts by POTUS/GOP to acknowledge James Shaw now is disingenuous BS! https://twitter.com/CantTeachTrump/status/989144879963033601 …","","","","992561395408523264","","","https://twitter.com/WeCU12/status/992561395408523264",""
"CottonAndieRaS","2018-05-01-11:04",0,0,2,"You think I would be arrested like the # wafflehouse killer or Dylan Woof, grab a burger after, or killed like # TamirRice or perhaps # EmmettTill! When you ppl want us dead you call the slave patrol.","","","# wafflehouse # TamirRice # EmmettTill","991332660868890624","991327634503200768","DRoofwood TheView","https://twitter.com/CottonAndieRaS/status/991332660868890624",""
"TruckChampion","2018-04-29-11:30",0,0,0,"REVEALED: Secret Service once arrested Waffle House killer, police previously confiscated his guns https://www.theblaze.com/news/2018/04/22/revealed-law-enforcement-knew-waffle-house-killer-secret-service-previously-confiscated-his-guns?utm_content=buffer2741c&utm_medium=social&utm_source=twitter.com&utm_campaign=theblaze …","","","","990614278561550337","","","https://twitter.com/TruckChampion/status/990614278561550337",""
"jameswalton71_d","2018-04-29-10:26",0,0,0,"Trump has a shot at reelection because of President Obama's economic success. BTW blue lives matter and I hate police, all lives matter, including Black lives. We all know white lives matter. At Waffle House a white killer was arrested without a scratch.","","","","990598263563849728","990587803624001536","Rosecrea1953","https://twitter.com/jameswalton71_d/status/990598263563849728",""
"Coffeejunkie82","2018-04-27-12:55",12,47,1,"Yet the Golden State serial killer rapist, waffle house mass murderer and Parkland mass murderer were all safely arrested. Smdh.","","","","989910889028612096","989909745313214464","funder HenryCoPolice","https://twitter.com/Coffeejunkie82/status/989910889028612096","https://abs.twimg.com/emoji/v2/72x72/1f644.png"
"simplyemc","2018-04-27-10:28",0,0,0,"Yet a man can massacre -4 eating at Waffle House -9 people in church -17 in a a high school -12 with a nickname of Golden State Killer ...and they were ALL calmly arrested because no officer uttered “I feared of my life” This is what inequality & injustice looks like!","","","","989873996790484992","989869761029918721","stucam7771","https://twitter.com/simplyemc/status/989873996790484992",""
"summerrane","2018-04-27-10:24",0,0,0,"# WaffleHouse Murderer, Dillon Roof, Movie theater killer, Cruz in school shooting, killer of 2 cops in dallas..shall I keep going listing white violent murderers and thugs, who are arrested without a scratch or a bullet. BLM https://twitter.com/RawStory/status/989806124860919809 …","","","# WaffleHouse","989873028715761664","","","https://twitter.com/summerrane/status/989873028715761664",""
"RMW247365","2018-04-26-22:02",0,0,0,"You gave a video of Waffle House killer being arrested ? Let me see it. https://twitter.com/edeweysmith/status/989598814091862016 …","","","","989686065987489792","","","https://twitter.com/RMW247365/status/989686065987489792",""
