username,date,retweets,favorites,comments,text,geo,mentions,hashtags,tweetid,conversationid,replyto,permalink,imagelink
"MarsdenFire","2018-06-05-04:25",0,1,0,"A new report shows devastating pictures of the inside of the Grenfell tower flat where the fire began. https://www.thesun.co.uk/news/6445431/grenfell-tower-fire-cause-inquiry-pictures-flat-began-hotpoint-fridge-freezer/ … # GrenfellTower # fire","","","# GrenfellTower # fire","1003915665231826945","","","https://twitter.com/MarsdenFire/status/1003915665231826945",""
"DailyMirror","2018-06-04-06:54",1,2,1,"Harrowing pictures from inside # GrenfellTower flat show where deadly blaze began https://www.mirror.co.uk/news/uk-news/breaking-grenfell-tower-fire-official-12644227 …pic.twitter.com/D08RrYw6rQ","","","# GrenfellTower","1003590933647151106","","","https://twitter.com/DailyMirror/status/1003590933647151106","https://pbs.twimg.com/media/De14mnUWAAAhZgl.jpg"
"UK48PM","2017-07-03-17:14",1,0,0,"Pictures show inside £1.7m flat offered to survivors of # GrenfellTower blaze as victims promised they 'won't be... http://fb.me/17rL1n1qk","","","# GrenfellTower","881984393631457280","","","https://twitter.com/UK48PM/status/881984393631457280",""
"5_News","2017-06-19-05:52",7,3,2,"Police have released this footage from inside a flat in the # GrenfellTower to show the scale of the devastation caused by the fire pic.twitter.com/fCEvUwMy8c","","","# GrenfellTower","876739532330332160","","","https://twitter.com/5_News/status/876739532330332160",""
"BeeNewsDaily","2017-06-15-12:04",1,1,0,"Looking inside of the # GrenfellTower flat shows devasting and catastrophic ruins damage caused by the fire (Pic: Declan Wilkes) @ SkyNewspic.twitter.com/y6ZqR5VTj5","","@ SkyNewspic","# GrenfellTower","875383472734556160","","","https://twitter.com/BeeNewsDaily/status/875383472734556160","https://pbs.twimg.com/media/DCX8oDqXcAAa_k7.jpg"
"WorldRumors","2017-06-15-10:15",0,0,0,"RT BBCBreaking: Photos obtained by the BBC show the inside of a flat in # GrenfellTower today Latest: http://bbc.in/2sw83eR","","","# GrenfellTower","875356008801062916","","","https://twitter.com/WorldRumors/status/875356008801062916",""
"adeolualatishe","2017-06-15-10:03",0,0,0,"Photos obtained by the BBC show the inside of a flat in # GrenfellTower today Latest: http://bbc.in/2sw83eR ... http://ow.ly/cRRu50cbbNM","","","# GrenfellTower","875353033860886528","","","https://twitter.com/adeolualatishe/status/875353033860886528",""
"yaboyboy_Q","2017-06-15-09:32",0,0,0,"RT BBCBreaking: Photos obtained by the BBC show the inside of a flat in # GrenfellTower today Latest: … pic.twitter.com/0i4W78vXCA","","","# GrenfellTower","875345325237686272","","","https://twitter.com/yaboyboy_Q/status/875345325237686272","https://pbs.twimg.com/media/DCXVi0RWsAIlJW1.jpg"
"HuffPostUK","2017-06-15-09:25",10,4,0,"Shocking photos show devastation inside a flat in # GrenfellTower. Live updates: http://huffp.st/4xigVYA pic.twitter.com/2B68Cg6toT","","","# GrenfellTower","875343410592436225","","","https://twitter.com/HuffPostUK/status/875343410592436225","https://pbs.twimg.com/media/DCXYMQXXUAE9bIv.jpg"
"phaxyn","2017-06-15-09:23",1,1,0,"BBCWorld: RT BBCBreaking: Photos obtained by the BBC show the inside of a flat in # GrenfellTower today Latest: … pic.twitter.com/XEnDFoONHy","","","# GrenfellTower","875343027220484097","","","https://twitter.com/phaxyn/status/875343027220484097","https://pbs.twimg.com/media/DCXVi0RWsAIlJW1.jpg"
"JakeM_1998","2017-06-15-09:21",0,0,0,"RT BBCBreaking: Photos obtained by the BBC show the inside of a flat in # GrenfellTower today Latest: … pic.twitter.com/dArpeThjGu","","","# GrenfellTower","875342555076063233","","","https://twitter.com/JakeM_1998/status/875342555076063233","https://pbs.twimg.com/media/DCXVi0RWsAIlJW1.jpg"
"sportapples362","2017-06-15-09:21",0,0,0,"Photos obtained by the BBC show the inside of a flat in # GrenfellTower today Latest: http://bbc.in/2sw83eR http://ift.tt/2s4QC3e BBC…","","","# GrenfellTower","875342501032448001","","","https://twitter.com/sportapples362/status/875342501032448001",""
"JamesRoy","2017-06-15-09:21",0,0,0,"BBCWorld: RT BBCBreaking: Photos obtained by the BBC show the inside of a flat in # GrenfellTower today Latest: … pic.twitter.com/9Z5AY46RrH","","","# GrenfellTower","875342457407492096","","","https://twitter.com/JamesRoy/status/875342457407492096","https://pbs.twimg.com/media/DCXVi0RWsAIlJW1.jpg"
"bbello2015","2017-06-15-09:21",0,0,0,"BBCWorld: RT BBCBreaking: Photos obtained by the BBC show the inside of a flat in # GrenfellTower today Latest: … pic.twitter.com/CmnTelWy1C","","","# GrenfellTower","875342389002588160","","","https://twitter.com/bbello2015/status/875342389002588160","https://pbs.twimg.com/media/DCXVi0RWsAIlJW1.jpg"
"BSAFunds","2017-06-15-09:20",0,0,0,"Photos obtained by the BBC show the inside of a flat in # GrenfellTower today Latest: http://bbc.in/2sw83eR pic.twitter.com/OuoZrjTsyN — B…","","","# GrenfellTower","875342165374881792","","","https://twitter.com/BSAFunds/status/875342165374881792","https://pbs.twimg.com/media/DCXVi0RWsAIlJW1.jpg"
"ragaminfonews","2017-06-15-09:19",0,0,0,"BBCWorld : RT BBCBreaking: Photos obtained by the BBC show the inside of a flat in # GrenfellTower today Latest: … https://twitter.com/BBCWorld/status/875340691748028416 …)pic.twitter.com/3ckEFyppVL","","","# GrenfellTower","875341971300208640","","","https://twitter.com/ragaminfonews/status/875341971300208640","https://pbs.twimg.com/media/DCXW4iQWsAAPong.jpg"
"vrai777","2017-06-15-09:19",0,0,0,"$ BNews:Photos obtained by the BBC show the inside of a flat in # GrenfellTower today Latest: … pic.twitter.com/tajviJbDZr","","","# GrenfellTower","875341916065464320","","","https://twitter.com/vrai777/status/875341916065464320","https://abs.twimg.com/emoji/v2/72x72/23f0.png"
