username,date,retweets,favorites,comments,text,geo,mentions,hashtags,tweetid,conversationid,replyto,permalink,imagelink
"kentpg","2017-06-22-09:53",0,0,0,"One dead and 10 hurt in terror attack on Finsbury Park mosque, London http://dailym.ai/2tCVx9J","","","","877887255687331841","","","https://twitter.com/kentpg/status/877887255687331841",""
"Rougepprince","2017-06-20-09:00",0,0,0,"London Mosque Attack: One dead, many hurt as van ploughs into crowd https://youtu.be/_rSHmvkQ9BY via @ YouTube","","@ YouTube","","877149189737664514","","","https://twitter.com/Rougepprince/status/877149189737664514",""
"Guardian_Elite","2017-06-20-08:26",0,0,0,"One dead and 10 hurt in terror attack on # FinsburyPark mosque, London http://dailym.ai/2tCVx9J via @ MailOnline","","@ MailOnline","# FinsburyPark","877140707193966592","","","https://twitter.com/Guardian_Elite/status/877140707193966592",""
"nhiemstra","2017-06-20-07:56",0,0,0,"One dead and 10 hurt in terror attack on Finsbury Park mosque, London http://dailym.ai/2tCVx9J via @ MailOnline","","@ MailOnline","","877133116971900928","","","https://twitter.com/nhiemstra/status/877133116971900928",""
"Razkul","2017-06-20-04:11",0,1,0,"One dead and 10 hurt in terror attack on Finsbury Park mosque, London http://dailym.ai/2tCVx9J via @ MailOnline","","@ MailOnline","","877076527908835328","","","https://twitter.com/Razkul/status/877076527908835328",""
"TheBuffaloNews","2017-06-20-03:16",0,1,1,"Vehicle hits pedestrians near mosque in London; 1 dead, 10 hurt http://bit.ly/2rKSVde","","","","877062642258653184","","","https://twitter.com/TheBuffaloNews/status/877062642258653184",""
"SANDRAGIPSON3","2017-06-20-01:10",0,0,0,"London Mosque Crash: At Least One Dead, Ten Hurt - | Latest News. Biblical Perspective. http://po.st/aK1kUU via @ binalerts","","@ binalerts","","877030824813764608","","","https://twitter.com/SANDRAGIPSON3/status/877030824813764608",""
"TheBuffaloNews","2017-06-19-23:26",0,0,0,"Vehicle hits pedestrians near mosque in London; 1 dead, 10 hurt http://bit.ly/2sJFx9z","","","","877004684812308484","","","https://twitter.com/TheBuffaloNews/status/877004684812308484",""
"jeng75961","2017-06-19-22:24",0,0,0,"One dead and 10 hurt in terror attack on Finsbury Park mosque, London http://dailym.ai/2tCVx9J via @ MailOnline what is wrong with this world","","@ MailOnline","","876989064116928512","","","https://twitter.com/jeng75961/status/876989064116928512",""
"eazureen","2017-06-19-21:53",0,0,1,"4. One dead, 10 hurt in London mosque attack by a van which ploughed into the worshippers leaving the mosque yesterday","","","","876981207556214784","876977544058118144","eazureen","https://twitter.com/eazureen/status/876981207556214784",""
