username,date,retweets,favorites,comments,text,geo,mentions,hashtags,tweetid,conversationid,replyto,permalink,imagelink
"Mundo40SNews","2017-07-10-14:40",0,0,0,"UK High Court of Justice Rules Arms Sale to Saudi Arabia Lawful: https://sputniknews.com/middleeast/201707101055407284-uk-saudi-arabia-lawful/ …","","","","884482441502748672","","","https://twitter.com/Mundo40SNews/status/884482441502748672",""
"weareiguacu","2017-07-10-12:47",0,0,0,"# UK Court rules arm sale to Saudi Arabia are 'lawful' - campaigners claim weapons used to perpetrate war crimes http://hubs.ly/H08059P0 pic.twitter.com/4jTWdbdqW6","","","# UK","884453924643758081","","","https://twitter.com/weareiguacu/status/884453924643758081","https://pbs.twimg.com/media/DEY2KA2XUAU99K8.jpg"
"Gauravaulia","2017-07-10-11:11",0,0,0,"@ SiddharthAulia After seeing secret evidence,the High Court has ruled the UK's arms sale to Saudi Arabia are lawful. https://mobile.twitter.com/itvnews/status/884354912901095425/photo/1 …","","@ SiddharthAulia","","884429804191195136","","","https://twitter.com/Gauravaulia/status/884429804191195136",""
"WeTalkWorld","2017-07-10-11:04",0,0,0,"Top story: UK High Court of Justice Rules Arms Sale to Saudi Arabia Lawful - Sp… https://sputniknews.com/middleeast/201707101055407284-uk-saudi-arabia-lawful/ …, see more http://tweetedtimes.com/WeTalkWorld?s=tnp …","","","","884428075970310145","","","https://twitter.com/WeTalkWorld/status/884428075970310145",""
"dgtlresistance","2017-07-10-09:55",0,0,0,"UK High Court of Justice Rules Arms Sale to Saudi Arabia Lawful https://sputniknews.com/middleeast/201707101055407284-uk-saudi-arabia-lawful/ …","","","","884410655876546561","","","https://twitter.com/dgtlresistance/status/884410655876546561",""
"ShoaibMKhan","2017-07-10-05:44",2,0,1,"High Court rejects claims that UK Government acted unlawfully by failing to suspend sale of arms to Saudi Arabia. Sale of arms was lawful.","","","","884347479847841792","","","https://twitter.com/ShoaibMKhan/status/884347479847841792",""
