username,date,retweets,favorites,comments,text,geo,mentions,hashtags,tweetid,conversationid,replyto,permalink,imagelink
"article_group","2018-07-27-11:03",0,0,0,"New post: A Police Officer Who Took The Place Of Hostages In A Supermarket Siege Has Died http://articlegroup.info/blog/2018/07/27/a-police-officer-who-took-the-place-of-hostages-in-a-supermarket-siege-has-died/ … French president","","","","1022860078880317440","","","https://twitter.com/article_group/status/1022860078880317440",""
"yachtinglove","2018-04-07-09:40",0,0,0,"Police officer wounded in France attack dies A French police officer who asked a gunman to let him take the place of a hostage in a supermarket attack has died. http://rss.cnn.com/~r/rss/edition_world/~3/tg4BWxCQk8M/french-officer-hostage-in-supermarket-attack-dies-bell.cnn …","","","","982614042719088641","","","https://twitter.com/yachtinglove/status/982614042719088641",""
"lakelifeboater","2018-04-07-09:40",0,0,0,"French officer who swapped places with a hostage in terror attack dies An heroic police officer who swapped places with a female hostage during an attack by a fanatical ISIS supporter on a supermarket in France has died of his wounds. http://rss.cnn.com/~r/rss/edition_world/~3/f0_TiE4Zh1E/index.html …","","","","982614036583014400","","","https://twitter.com/lakelifeboater/status/982614036583014400",""
"GarzoHugo","2018-04-03-14:34",0,0,0,"The faith of Lieutenant-Colonel Beltrame, the French police officer who swapped places with hostage (Bosco Peters) http://j.mp/2Ir05rj On 24 March 2018, a terrorist entered a supermarket in Trèbes armed with a handgun, a hunting knife, and three homemade bombs. He shot two … pic.twitter.com/JiNTyyxhHx","","","","981238451176603648","","","https://twitter.com/GarzoHugo/status/981238451176603648","https://pbs.twimg.com/media/DZ4PLBgXcAA7bZX.jpg"
"AlanJones2008","2018-04-01-07:17",0,2,0,"Especially poignant on Easter Sunday...French police officer who swapped himself for a hostage during supermarket terror attack has died http://www.independent.co.uk/news/world/europe/arnaud-beltrame-dead-police-hero-trebes-isis-hostage-france-terror-siege-attack-a8271781.html …","","","","980403856139046912","","","https://twitter.com/AlanJones2008/status/980403856139046912",""
"BoatMadChick","2018-03-29-13:13",0,1,0,"A French police officer who asked a gunman to let him take the place of a hostage in a supermarket attack has died. http://rss.cnn.com/~r/rss/edition_world/~3/tg4BWxCQk8M/french-officer-hostage-in-supermarket-attack-dies-bell.cnn …","","","","979406293101359104","","","https://twitter.com/BoatMadChick/status/979406293101359104",""
"theblaze","2018-03-28-15:45",41,117,4,"French President Emmanuel Macron posthumously awarded on Wednesday the Legion of Honor, the highest award in France, to a French police officer who traded himself for a hostage during an attack Friday on a French supermarket. http://bit.ly/2E3rc98","","","","979081956574056448","","","https://twitter.com/theblaze/status/979081956574056448",""
"AishaIqbalKhan","2018-03-28-08:20",1,4,0,"a minute's silence at # Leeds civic hall to honour Arnaud Beltrame, hero French police officer who was shot after he swapped himself for a hostage in supermarket terror attack. He was part of TDF Grand Depart team visiting Leeds in 2014.","","","# Leeds","978970117613801472","","","https://twitter.com/AishaIqbalKhan/status/978970117613801472",""
"DJLNR","2018-03-28-04:59",0,0,0,"France holds state funeral for police hero of Trèbes siege https://ift.tt/2Glde4c The Guardian World News The French police officer who died saving hostages’ lives at a supermarket siege last week is being honoured with a state funeral with full military honours on Wednesday…","","","","978919407325011969","","","https://twitter.com/DJLNR/status/978919407325011969",""
"hairydel","2018-03-28-02:35",0,0,0,"A national memorial service is due to take place in honour of the French police officer Lt-Col Arnaud Beltrame, 44, who died saving the lives of hostages in a supermarket siege by an Islamist gunman http://www.bbc.co.uk/news/world-europe-43562038 …","","","","978883179586244614","","","https://twitter.com/hairydel/status/978883179586244614",""
"MD_GOHS","2018-03-26-14:09",0,0,0,"French police officer Arnaud Beltrame died Saturday after being critical wounded by an ISIS inspired fighter during a supermarket hostage situation in southern France last Friday. Beltrame was a French military veteran who had served in Iraq https://www.cnn.com/2018/03/24/europe/france-trebes-officer-dead/index.html …pic.twitter.com/6CP0ML6xpg","","","","978333202753507329","","","https://twitter.com/MD_GOHS/status/978333202753507329","https://pbs.twimg.com/media/DZO78_IXUAA1RDi.jpg"
"eksymons","2018-03-26-13:45",6,9,0,"Wife of Arnaud Beltrame, murdered French police officer who swapped places with a female hostage during supermarket terror attack by IS supporter: 'It was the act of a gendarme and of a Christian...he was motivated by values of service, generosity, self-giving & self-sacrifice' https://twitter.com/franceinfo/status/978297098213961729 …","","","","978327130890219525","","","https://twitter.com/eksymons/status/978327130890219525","https://pbs.twimg.com/media/DZOcBWaXkAEbKet.jpg"
"tweetcatholics","2018-03-26-10:24",0,1,0,"French Police Officer Who Swapped Places With Hostage In Supermarket Was A Practicing Catholic http://francismary.org/french-police-officer-who-swapped-places-with-hostage-in-supermarket-was-a-practicing-catholic/ …pic.twitter.com/BAPlyxxa1o","","","","978276611295498241","","","https://twitter.com/tweetcatholics/status/978276611295498241","https://pbs.twimg.com/media/DZOJZKZV4AISLL1.jpg"
"newexprince5656","2018-03-26-05:07",0,0,0,"French police officer hailed a hero after terror attack, dies from his injuries Arnaud Beltrame was one of the first officers to respond to the attack on a French supermarket, swapping places with a hostage. from Yahoo News - Latest News & Headlines https://ift.tt/2G9lxAf …","","","","978196736568168448","","","https://twitter.com/newexprince5656/status/978196736568168448",""
"JerseyPeeps","2018-03-26-03:50",0,0,0,"A police officer who took the place of a hostage during a terror attack at a French supermarket married his partner while on his death bed. https://www.jerseypeeps.com/france-terror-attack-hero-married-before-he-died/ …https://www.jerseypeeps.com/france-terror-attack-hero-married-before-he-died/ …","","","","978177328143626240","","","https://twitter.com/JerseyPeeps/status/978177328143626240",""
"SimekhaJME","2018-03-26-01:11",3,14,2,"I am still marvelling at a French Police Officer who swapped places with a hostage & got killed in her place. Kenyan police would mostly shoot the hostages, loot the supermarket, shoot & stone anyone protesting their unlawful actions & get congratulated by their top commanders","","","","978137358255128576","","","https://twitter.com/SimekhaJME/status/978137358255128576",""
"vetus_nauta","2018-03-25-21:34",0,0,0,"He is a model for all of us. This French police officer who swapped himself for a hostage in a supermarket siege. In the face of terror he showed exceptional courage & personal responsibility. https://twitter.com/NotesFASMil/status/977510637969518592 …","","","","978082710207025153","","","https://twitter.com/vetus_nauta/status/978082710207025153","https://pbs.twimg.com/media/DZDQvU4X0AAqwAF.jpg"
