username,date,retweets,favorites,comments,text,geo,mentions,hashtags,tweetid,conversationid,replyto,permalink,imagelink
"ClarksburgLeak","2017-08-19-21:08",0,0,0,"RT: Police arrest at least 8 people at boston free speech rally. # violence # police # murder # dead http://Newspaper.St/Read/111329708/ August 20, 2017 a…","","","# violence # police # murder # dead","899075555710177280","","","https://twitter.com/ClarksburgLeak/status/899075555710177280",""
"RikkiKlausWSB","2017-08-19-16:08",0,2,0,"Police arrest at least 8 people at Boston 'Free Speech' rally http://2wsb.tv/2vSD0sv pic.twitter.com/7NgFDxQrBD","","","","899000133840490500","","","https://twitter.com/RikkiKlausWSB/status/899000133840490500","https://pbs.twimg.com/media/DHnj2i2UwAE3CgS.jpg"
"channel1atlanta","2017-08-19-15:33",0,0,0,"WSBTV reports Police arrest at least 8 people at Boston 'Free Speech' rally http://2wsb.tv/2vSD0sv pic.twitter.com/5koMLoGUmC","","","","898991301370273792","","","https://twitter.com/channel1atlanta/status/898991301370273792","https://pbs.twimg.com/media/DHnVy1yXUAEG-vx.jpg"
"wsbtv","2017-08-19-15:30",0,3,5,"Police arrest at least 8 people at Boston 'Free Speech' rally http://2wsb.tv/2vSD0sv pic.twitter.com/Q2GHc43gGv","","","","898990450597535744","","","https://twitter.com/wsbtv/status/898990450597535744","https://pbs.twimg.com/media/DHnVy1yXUAEG-vx.jpg"
"channel1atlanta","2017-08-19-14:53",0,0,0,"WSBTV reports Police arrest at least 8 people at Boston 'Free Speech' rally http://2wsb.tv/2v1sWfq","","","","898981244368805889","","","https://twitter.com/channel1atlanta/status/898981244368805889",""
"wsbradio","2017-08-19-14:43",0,0,0,"JUST IN: Police arrest at least 8 people at Boston 'Free Speech' rally http://bit.ly/2wrB38J","","","","898978828059500544","","","https://twitter.com/wsbradio/status/898978828059500544",""
"wsbtv","2017-08-19-14:37",1,5,1,"Police arrest at least 8 people at Boston 'Free Speech' rally http://2wsb.tv/2v1sWfq","","","","898977244185587712","","","https://twitter.com/wsbtv/status/898977244185587712",""
"AtlantaNewsFeed","2017-08-19-14:36",0,0,0,"WSB-TV: Police arrest at least 8 people at Boston 'Free Speech' rally http://2wsb.tv/2vbQPjw","","","","898976869059407872","","","https://twitter.com/AtlantaNewsFeed/status/898976869059407872",""
"myfox8","2017-08-19-14:23",2,4,1,"Police arrest at least 8 people who appear to have been counter-protesters at the Boston ‘Free Speech’ rally http://via.wghp.com/dhg5Y pic.twitter.com/Abn8ImXyEY","","","","898973822241693697","","","https://twitter.com/myfox8/status/898973822241693697","https://pbs.twimg.com/media/DHnL7H9V0AE_CKd.jpg"
"wsbtv","2017-08-19-14:14",1,1,1,"Police arrest at least 8 people who appear to have been counter-protesters at the Boston “Free Speech” rally | LIVE: http://2wsb.tv/2skjNxP pic.twitter.com/FYLiDYVWQq","","","","898971420125999104","","","https://twitter.com/wsbtv/status/898971420125999104","https://pbs.twimg.com/media/DHnJvJUXsAE03nt.jpg"
