username,date,retweets,favorites,comments,text,geo,mentions,hashtags,tweetid,conversationid,replyto,permalink,imagelink
"ZazaFL","2018-07-27-18:26",0,0,0,"Capitalism kills. # Grenfell Grenfell police have 'reasonable grounds' to suspect Kensington council committed corporate manslaughter https://www.independent.co.uk/news/uk/crime/grenfell-tower-fire-latest-news-corporate-manslaughter-kensington-council-kctmo-met-police-a7863616.html …","","","# Grenfell","1022971434400927744","","","https://twitter.com/ZazaFL/status/1022971434400927744",""
"rosewynes","2018-07-27-18:14",0,0,0,"Police have 'reasonable grounds' to suspect corporate manslaughter was committed at Grenfell Tower http://www.independent.co.uk/news/uk/crime/grenfell-tower-fire-latest-news-corporate-manslaughter-kensington-council-kctmo-met-police-a7863616.html …","","","","1022968582882435072","","","https://twitter.com/rosewynes/status/1022968582882435072",""
"Blowbax","2018-07-27-18:12",0,0,0,"Police have 'reasonable grounds' to suspect corporate manslaughter was committed at Grenfell Tower http://www.independent.co.uk/news/uk/crime/grenfell-tower-fire-latest-news-corporate-manslaughter-kensington-council-kctmo-met-police-a7863616.html …","","","","1022967976012787713","","","https://twitter.com/Blowbax/status/1022967976012787713",""
"SilaTarina","2018-07-27-18:05",0,0,0,"Grenfell police have 'reasonable grounds' to suspect Kensington council committed corporate manslaughter https://www.independent.co.uk/news/uk/crime/grenfell-tower-fire-latest-news-corporate-manslaughter-kensington-council-kctmo-met-police-a7863616.html …","","","","1022966222676213762","","","https://twitter.com/SilaTarina/status/1022966222676213762",""
"InclusiveLucie","2018-07-27-17:59",1,0,0,"Grenfell police have 'reasonable grounds' to suspect Kensington council committed corporate manslaughter https://www.independent.co.uk/news/uk/crime/grenfell-tower-fire-latest-news-corporate-manslaughter-kensington-council-kctmo-met-police-a7863616.html …","","","","1022964658242822144","","","https://twitter.com/InclusiveLucie/status/1022964658242822144",""
"StuartWaterman","2018-07-27-17:52",0,0,0,"Grenfell police have 'reasonable grounds' to suspect Kensington council committed corporate manslaughter https://www.independent.co.uk/news/uk/crime/grenfell-tower-fire-latest-news-corporate-manslaughter-kensington-council-kctmo-met-police-a7863616.html …","","","","1022963085064249345","","","https://twitter.com/StuartWaterman/status/1022963085064249345",""
"JeanneBartram","2018-07-27-17:51",31,24,1,"Grenfell police have 'reasonable grounds' to suspect Kensington council committed corporate manslaughter https://www.independent.co.uk/news/uk/crime/grenfell-tower-fire-latest-news-corporate-manslaughter-kensington-council-kctmo-met-police-a7863616.html …","","","","1022962705118969856","","","https://twitter.com/JeanneBartram/status/1022962705118969856",""
"80_mcswan","2018-07-27-17:46",186,170,10,"Police investigating the Grenfell Tower fire have concluded there are “reasonable grounds” to suspect the Royal Borough of Kensington and Chelsea (RBKC) and the council’s tenant management organisation (TMO) may have committed corporate manslaughter. pic.twitter.com/HqYgIY7p1C","","","","1022961482496135169","","","https://twitter.com/80_mcswan/status/1022961482496135169","https://pbs.twimg.com/media/DjJKBy9XcAA0wOH.jpg"
"rcp123456","2018-07-27-17:40",0,1,0,"Grenfell police have 'reasonable grounds' to suspect Kensington council committed corporate manslaughter https://www.independent.co.uk/news/uk/crime/grenfell-tower-fire-latest-news-corporate-manslaughter-kensington-council-kctmo-met-police-a7863616.html …","","","","1022959952783179776","","","https://twitter.com/rcp123456/status/1022959952783179776",""
"mojos55","2018-07-27-17:32",72,52,3,"Grenfell police have 'reasonable grounds' to suspect Kensington council committed corporate manslaughter http://www.independent.co.uk/news/uk/crime/grenfell-tower-fire-latest-news-corporate-manslaughter-kensington-council-kctmo-met-police-a7863616.html …","","","","1022958023189450753","","","https://twitter.com/mojos55/status/1022958023189450753",""
"biteback7","2018-07-27-17:32",3,0,0,"Grenfell police have 'reasonable grounds' to suspect Kensington council committed corporate manslaughter https://www.independent.co.uk/news/uk/crime/grenfell-tower-fire-latest-news-corporate-manslaughter-kensington-council-kctmo-met-police-a7863616.html …","","","","1022957817676869633","","","https://twitter.com/biteback7/status/1022957817676869633",""
"djinn_jim","2018-07-27-17:28",0,0,0,"Police have 'reasonable grounds' to suspect corporate manslaughter was committed at Grenfell Tower http://www.independent.co.uk/news/uk/crime/grenfell-tower-fire-latest-news-corporate-manslaughter-kensington-council-kctmo-met-police-a7863616.html …","","","","1022956845365911553","","","https://twitter.com/djinn_jim/status/1022956845365911553",""
"BjjJkelly","2018-07-27-17:24",1,3,1,"Grenfell police have 'reasonable grounds' to suspect Kensington council committed corporate manslaughter https://www.independent.co.uk/news/uk/crime/grenfell-tower-fire-latest-news-corporate-manslaughter-kensington-council-kctmo-met-police-a7863616.html …","","","","1022955828385656832","","","https://twitter.com/BjjJkelly/status/1022955828385656832",""
"dalyankadri","2018-07-27-17:21",0,0,0,"Grenfell police have 'reasonable grounds' to suspect Kensington council committed corporate manslaughter https://www.independent.co.uk/news/uk/crime/grenfell-tower-fire-latest-news-corporate-manslaughter-kensington-council-kctmo-met-police-a7863616.html …","","","","1022955159570313217","","","https://twitter.com/dalyankadri/status/1022955159570313217",""
"sedition3","2018-07-27-17:03",0,0,0,"Grenfell police have 'reasonable grounds' to suspect Kensington council committed corporate manslaughter https://www.independent.co.uk/news/uk/crime/grenfell-tower-fire-latest-news-corporate-manslaughter-kensington-council-kctmo-met-police-a7863616.html …","","","","1022950502781333504","","","https://twitter.com/sedition3/status/1022950502781333504",""
