content,username,replyto,permalink,time
"Will ,@,narendramodi, do something to stop India's Cow Terrorists from Killing Muslims? In ,@,washingtonpost, I say: Quit using this repugnant euphemism called ""vigilantism"". These are Muslim hating mobs emboldened by powerful BJP leaders who defend them.,https://www.,washingtonpost.com/news/global-op,inions/wp/2018/07/24/will-modi-stop-indias-cow-terrorists-from-killing-muslims/, ,…",BDUTT,,https://twitter.com/BDUTT/status/1022020277910347776,1532503597
"Did ,@,narendramodi, call them vigilantes? From what I remember, it came from your professional colleagues.",anuraag_saxena,"BDUTT,narendramodi,washingtonpost",https://twitter.com/anuraag_saxena/status/1022021088644083715,1532503790
The two points are unlinked. If you read the piece I am happy to debate after,BDUTT,"anuraag_saxena,narendramodi,washingtonpost",https://twitter.com/BDUTT/status/1022022086737489922,1532504028
"I did. Just uncomfortable with (a) false-equivalence (Cow's life > Indian Muslim); and the tweet obfuscating ,@,narendramodi, as somehow encouraging these mobs.",anuraag_saxena,"BDUTT,narendramodi,washingtonpost",https://twitter.com/anuraag_saxena/status/1022023180058275840,1532504289
What about the BJP leaders including Ministers who defend the mobs,BDUTT,"anuraag_saxena,narendramodi,washingtonpost",https://twitter.com/BDUTT/status/1022023683748102144,1532504409
"Then pls name them. Not their (a) boss (who has already condemned them), or (b) society large (for having accepted this behaviour). In a country as huge as India, you WILL have deviant behavior. Kind of pointless pointing to the top man for all ills of the country.",anuraag_saxena,"BDUTT,narendramodi,washingtonpost",https://twitter.com/anuraag_saxena/status/1022024532020867072,1532504611
Named all of them. Why has no action been taken against them to set an example,BDUTT,"anuraag_saxena,narendramodi,washingtonpost",https://twitter.com/BDUTT/status/1022055635611987968,1532512027
"Who says Action has NOT been taken ? People have been arrested & charge sheets filed immediately, UNLIKE lynching of 10000 Sikhs by Congress Leaders in 1984 , how many convicted ? why did u never ASK same questions to ur Congressi Paymasters? Clearly part of BIASED ,#,Presstitutes",sachinparadkar,"BDUTT,anuraag_saxena",https://twitter.com/sachinparadkar/status/1022057567466311680,1532512487
"Once u ask uncomforting question, she stops replying. Thats the biased mindset she has. Why doesnt she write an article about ousted Kashmiri pundits on ,@,washingtonpost, ???",avi_asus,"sachinparadkar,BDUTT",https://twitter.com/avi_asus/status/1022098087840366594,1532522148
"See actual terrorism and have shame in defaming India alongwith the Hindus who are cow worshippers.Don't defend those who are playing foul with Hindu sentiments.,pic.twitter.com/dyQ8imKj3X",GaurishaarSing1,"BDUTT,tufailelif",https://twitter.com/GaurishaarSing1/status/1022028562373771265,1532505572
if your sentiments are hurt and in retaliation you go about killing people - they you are definitely are a terrorist  - that is how all terrorists justify their acts.,ksundeep_,"GaurishaarSing1,BDUTT",https://twitter.com/ksundeep_/status/1022035321888882688,1532507183
