content,username,replyto,permalink,time
"@DANI_TANNER6 what's the difference?,pic.twitter.com/2O3yShvQlM",jarod_mchugh_21,,https://twitter.com/jarod_mchugh_21/status/673760243315253248,1449471934
@DANI_TANNER6 you flamed me with the 41 lb sewer rat lol,jarod_mchugh_21,jarod_mchugh_21,https://twitter.com/jarod_mchugh_21/status/673889124202450944,1449502662
@DANI_TANNER6 @Reitz_Panther_1 he did we discussed this yesterday when I changed it ,lexashaye99,dani_schall6,https://twitter.com/lexashaye99/status/673895964537700352,1449504292
"@,lexashaye99, @DANI_TANNER6 we still dubbed",jarod_mchugh_21,lexashaye99,https://twitter.com/jarod_mchugh_21/status/673898525630009345,1449504903
