content,username,replyto,permalink,time
"I remember telling ,@,realDonaldTrump, in a private phone talk in 2017 to keep trying to improve the relationship between US & Russia despite the criticism and not to forget we might’ve lost WWII w/o Russia as an ally. Glad to see him reaching out to them from a position of strength",JerryFalwellJr,,https://twitter.com/JerryFalwellJr/status/1023267457304326145,1532800947
Why would you think that just because Russia was an ally 70 some years ago they are a friend now?  They have been trying to hurt us ever since then. They are attacking us right now. *face palm emoji*. ,pithypacky,"JerryFalwellJr,realDonaldTrump",https://twitter.com/pithypacky/status/1023278779328815104,1532803647
"I think it's time that these ""religious"" organizations start paying taxes.",EODaddy,"pithypacky,JerryFalwellJr,realDonaldTrump",https://twitter.com/EODaddy/status/1023318356416446464,1532813083
"Religious organizations?  You’re so ignorant! ,@,LibertyU, is one of the 5 largest universities in the nation!",JerryFalwellJr,"EODaddy,pithypacky,realDonaldTrump",https://twitter.com/JerryFalwellJr/status/1023353626146873345,1532821492
"Isn’t ,@,LibertyU, a Christian 501(c)3 nonprofit, ,@,JerryFalwellJr,? Isn’t that a religious organization?",reporterporter,"JerryFalwellJr,EODaddy",https://twitter.com/reporterporter/status/1023356356152229890,1532822143
"Don’t see LibertyU.. DoU?,pic.twitter.com/NChmDwC0RW",TrishaW04,"reporterporter,JerryFalwellJr",https://twitter.com/TrishaW04/status/1023366876880023553,1532824651
wait..are you the dude that got choked out?,TomArnold,"JerryFalwellJr,swin24,realDonaldTrump",https://twitter.com/TomArnold/status/1023276549762478080,1532803115
"Boop.,https://,twitter.com/LincolnsBible/,status/901568202324324353, ,…",LincolnsBible,"TomArnold,JerryFalwellJr,LincolnsBible,JerryFalwellJr",https://twitter.com/LincolnsBible/status/1023278563535904768,1532803595
"who dis, preacher boy? 
wat dis ting, SunTrust? why it have tech co in bermuda? 
maybe you launder money for mobsters? 
jesus not like that. 
,pic.twitter.com/q3mW9W34e6",LincolnsBible,"LincolnsBible,TomArnold",https://twitter.com/LincolnsBible/status/1023287475119112192,1532805720
"dat for Franklin Graham reply of TA's - which now not there for LB.
i speak russian for ,@,jack, next time, so he understand better. ",LincolnsBible,"LincolnsBible,TomArnold",https://twitter.com/LincolnsBible/status/1023290582263689216,1532806461
"I speak sworn affidavit too.,https://www.,scribd.com/doc/316341058/,Donald-Trump-Jeffrey-Epstein-Rape-Lawsuit-and-Affidavits, ,…",LincolnsBible,"LiLBV69,TomArnold",https://twitter.com/LincolnsBible/status/1023301568773275648,1532809080
"Any clue how easy that is to fake?Ask Obama. He did it with his birth certificate. ,#,MAGA",LiLBV69,"LincolnsBible,TomArnold",https://twitter.com/LiLBV69/status/1023301975797112833,1532809177
"Joe? That you?,https://,twitter.com/LincolnsBible/,status/912322232319229953, ,…",LincolnsBible,"LiLBV69,TomArnold",https://twitter.com/LincolnsBible/status/1023329899367387136,1532815835
"You're the chancellor of a college. Is there a History department there? Can you get someone not as corrupt as you to explain what has gone on with Russia and the rest of the world, since WWII?",SweetieWalker,"JerryFalwellJr,realDonaldTrump",https://twitter.com/SweetieWalker/status/1023291109106180096,1532806586
"And the “Tweet of The Day” award goes to...... you !,pic.twitter.com/udGi92hfU8",MsSmartie2u,"SweetieWalker,JerryFalwellJr,realDonaldTrump",https://twitter.com/MsSmartie2u/status/1023299721518043137,1532808640
"Thank you... Thank you, so much. 
I accept this award on behalf of ACTUAL Christians, devoted Americans, and all those with Cheeto allergies, around the world!",SweetieWalker,"MsSmartie2u,JerryFalwellJr,realDonaldTrump",https://twitter.com/SweetieWalker/status/1023301207232835584,1532808994
"Give my regards to Mr. Putin, ya hack.
Propaganda Bot like Patterns Classified
Our model has classified ,@,mikeppp232, to exhibit patterns conducive to a political bot or highly moderated account tweeting political propaganda.,http://,botcheck.me, ",SweetieWalker,"mikeppp232,MsSmartie2u",https://twitter.com/SweetieWalker/status/1023307930878324737,1532810597
"Is this a Bot-O-Meter ?! What have I been MISSING?!,pic.twitter.com/Y5XIAsqigq",MsSmartie2u,"SweetieWalker,mikeppp232",https://twitter.com/MsSmartie2u/status/1023321557240893441,1532813846
Yes it is.,SweetieWalker,"MsSmartie2u,mikeppp232",https://twitter.com/SweetieWalker/status/1023338865615097857,1532817972
pic.twitter.com/UKu3GzdR3z,mikeppp232,"SweetieWalker,MsSmartie2u",https://twitter.com/mikeppp232/status/1023342449270431750,1532818827
How much money have you received from Russians?,388shark,"JerryFalwellJr,swin24,realDonaldTrump",https://twitter.com/388shark/status/1023275300568719360,1532802817
I'm pretty sure he just likes their stance on homosexuality.,mitchellmebane,"388shark,JerryFalwellJr",https://twitter.com/mitchellmebane/status/1023290152867819521,1532806358
Wasn't organized religion the worlds first criminal enterprise? Asking for a friend,bellamagick315,"JerryFalwellJr,swin24,realDonaldTrump",https://twitter.com/bellamagick315/status/1023277283690328068,1532803290
Without a doubt,MadieBeartri,"bellamagick315,JerryFalwellJr",https://twitter.com/MadieBeartri/status/1023312485573648384,1532811683
"Really? Interesting. Please share your knowledge of when, where, who and how this occured.",SLCan219,"MadieBeartri,bellamagick315",https://twitter.com/SLCan219/status/1023585984213073920,1532876890
Crusades is fun place to start,johnfbelanger,"SLCan219,MadieBeartri",https://twitter.com/johnfbelanger/status/1023952236525703169,1532964211
pic.twitter.com/Kkvjwdfa1f,insomniacx29,"JerryFalwellJr,TomiLahren,realDonaldTrump",https://twitter.com/insomniacx29/status/1023314198951067650,1532812091
"The logic in this tweet could have been used to justify accepting Soviet Communism and the USSR’s actions post WW2, including their attacks on religion, as okie dokie ,https://,twitter.com/jerryfalwelljr,/status/1023267457304326145?s=21, ,…",Jamie_Weinstein,"JerryFalwellJr,TomiLahren,realDonaldTrump",https://twitter.com/Jamie_Weinstein/status/1023330218268749824,1532815911
