content,username,replyto,permalink,time
"One of the reasons we need Great Border Security is that Mexico’s murder rate in 2017 increased by 27% to 31,174 people killed, a record! The Democrats want Open Borders. I want Maximum Border Security and respect for ICE and our great Law Enforcement Professionals! ,@,FoxNews",realDonaldTrump,,https://twitter.com/realDonaldTrump/status/1024248479386923009,1533034841
Mexico is a mess! We can’t allow that to happen to America. But even they have Voter ID!,JoeyTM3,"realDonaldTrump,FoxNews",https://twitter.com/JoeyTM3/status/1024248724426506240,1533034900
"It’s amazing. We can’t get voter ID because Democrats say it’s racist against Mexicans, yet Mexico has Voter ID!",JoeyTM3,"JoeyTM3,realDonaldTrump,FoxNews",https://twitter.com/JoeyTM3/status/1024248852415766528,1533034930
"The illegals also cost billions of dollars of taxpayers money for educatiion, healthcare, food stamps, etc etc. WE should be worry about  law abiding citizens first and foremost!  CLOSE the BORDERS! MAGA ",JKoscovitz,"realDonaldTrump,FoxNews",https://twitter.com/JKoscovitz/status/1024270238525865984,1533040029
"Illegals are not eligible for food stamps or Medicare or Medicaid, any taxes they pay through PAYE, sales taxes,property taxes etc. all go into our economy. While we do educate their children, they are paying towards it through property and sales taxes!",Jusjules2,"JKoscovitz,realDonaldTrump,FoxNews",https://twitter.com/Jusjules2/status/1024272070799175681,1533040466
"You want safety and security the democrats only want votes. They do not care about Americans! 

It’s a disgrace!! ,#,trump2020, ,#,MAGA, ,#,KAG2020",JohnJBrea,"realDonaldTrump,FoxNews",https://twitter.com/JohnJBrea/status/1024251681674936320,1533035605
pic.twitter.com/29vz0RoorL,DKW_1996,"JohnJBrea,realDonaldTrump,FoxNews",https://twitter.com/DKW_1996/status/1024256380268621824,1533036725
How many people were murdered by legal guns in the United States? I bet you it’s more than Mexico’s,LauraD329,"realDonaldTrump,FoxNews",https://twitter.com/LauraD329/status/1024455831453089792,1533084278
How many Mexicans were killed by U.S. guns? All of them. Cartels get their guns from the U.S.,BecauseIsMe777,"LauraD329,realDonaldTrump,FoxNews",https://twitter.com/BecauseIsMe777/status/1024697718457810944,1533141948
Ugh. Our gov’t has a lot to answer for around the world.,LauraD329,"BecauseIsMe777,realDonaldTrump,FoxNews",https://twitter.com/LauraD329/status/1024790281756069889,1533164017
"Yeah, Obama admin. Operation Fast and Furious. From 2009-2011, the Phoenix  Bureau of ATF, along with other partners, allowed illegal gun sales in order to track the sellers and buyer, who were believed connected to Mexican drug cartels. The Obama admin let the cartels have guns.",sometingfishy,"LauraD329,BecauseIsMe777",https://twitter.com/sometingfishy/status/1025065028997632000,1533229522
"Have you checked the murder rate in the U.S.? 
How about shootings in schools?,https://www.,washingtonpost.com/graphics/2018/,local/us-school-shootings-history/?utm_term=.04f3385d6389, ,…",dvillella,"realDonaldTrump,FoxNews",https://twitter.com/dvillella/status/1024274349614944256,1533041009
What you want and what you get our two different things. I wish you’d focus on something that makes America better. I wall doesn’t make us better it just makes us confined. Gorbachev tear down these walls A more popular republican president then you said,DrKathieMathis,"realDonaldTrump,FoxNews",https://twitter.com/DrKathieMathis/status/1024452419046932481,1533083464
pic.twitter.com/bqLP3eZ7Iw,kerryjrn,"DrKathieMathis,realDonaldTrump,FoxNews",https://twitter.com/kerryjrn/status/1024471101236281346,1533087918
"YAAAAAAAAP YAP YAP YAP POOP yap yap yap yap yap yap yap poop yap yap yap yap yap yap yap yap yap yap yap yap yap yap yap poop yap yap yap yap yap yap yap poop yap yap yap yap yap yap yap yap yap yap yap yap yap poop water,pic.twitter.com/W4CCDvQ9ju",LuluLemew,"realDonaldTrump,FoxNews",https://twitter.com/LuluLemew/status/1024502156488048640,1533095323
