content,username,replyto,permalink,time
"HAPPENING NOW: We're in Florida a as Pres. Trump hosts a 'Make America Great Again' rally in Tampa. ,https://,abcn.ws/2Apn06U, ,http://,bit.ly/2OBpiDg, ",ABC,,https://twitter.com/ABC/status/1024431373929435136,1533078447
"It started 11/09/2016. ,#,TrumpConspired, ,#,trumptampa, ,#,TrumpRussiaConspiracy,pic.twitter.com/IsfrIveprQ",deejay90192,ABC,https://twitter.com/deejay90192/status/1024436682106564608,1533079712
"#,thisisMe",DC4Hope,"deejay90192,ABC",https://twitter.com/DC4Hope/status/1024436959840755713,1533079779
He's getting his fix. The need to be surrounded by adulation. Always seems to have one when things are going against him. This is his drug.,KarenDoney122,ABC,https://twitter.com/KarenDoney122/status/1024432045454512131,1533078607
pic.twitter.com/YWYCj5XAEI,Slaynallday,ABC,https://twitter.com/Slaynallday/status/1024431698916847616,1533078524
Why? Why do you continue to cover his rallies? He just wants the attention. It serves no useful purpose.,tiredmom62,ABC,https://twitter.com/tiredmom62/status/1024432298735808512,1533078667
"Best POTUS ever! ,#,MAGA",realRichHunting,ABC,https://twitter.com/realRichHunting/status/1024432399030136834,1533078691
"I agree, Barack Obama is the greatest president ever. Still my President Obama. Hail to the chief!",NextLvlSurvivor,"realRichHunting,ABC",https://twitter.com/NextLvlSurvivor/status/1024433924402044928,1533079055
Obama was literally the worst POTUS EVER. LMAO,realRichHunting,"NextLvlSurvivor,ABC",https://twitter.com/realRichHunting/status/1024437087645392896,1533079809
"Why is this news? Don't give ,#,TreasonousTrump, free advertising!!",MargaretLee444,ABC,https://twitter.com/MargaretLee444/status/1024432321162891264,1533078673
"Happening now across America - Immigrant children are still being held in custody away from their parents despite a court order to reunite them.,https://www.,youtube.com/watch?v=rlo0cL,NOGXo, ,…",tinyfingresist,ABC,https://twitter.com/tinyfingresist/status/1024431773168492545,1533078542
And they're drugged and molested and unsafe from each other. It's disgusting. We'd lose our minds if it was our families.,winzoid,"tinyfingresist,ABC",https://twitter.com/winzoid/status/1024433032084639744,1533078842
The US must be the only country where the sitting president still campaigns.,18oyggjar,ABC,https://twitter.com/18oyggjar/status/1024431811504558081,1533078551
no this is the only president to ever do this. He’s an idiot though.,DJ112sa,"18oyggjar,ABC",https://twitter.com/DJ112sa/status/1024432188228608000,1533078641
"Not quite buddy.,https://www.,theguardian.com/world/2010/oct,/31/barack-obama-midterm-campaign-rally, ,…",Ray_Rayisok,"DJ112sa,18oyggjar,ABC",https://twitter.com/Ray_Rayisok/status/1024433916638314496,1533079053
He wasn’t campaigning for himself buddy.,DJ112sa,"Ray_Rayisok,18oyggjar,ABC",https://twitter.com/DJ112sa/status/1024434726831108096,1533079246
"Neither is ,@,POTUS, shithead.",Ray_Rayisok,"DJ112sa,18oyggjar,ABC",https://twitter.com/Ray_Rayisok/status/1024438655136550913,1533080183
 triggered!,DJ112sa,"Ray_Rayisok,18oyggjar",https://twitter.com/DJ112sa/status/1024440348897144835,1533080587
pic.twitter.com/1ScnJelOS3,DJ112sa,"Ray_Rayisok,18oyggjar",https://twitter.com/DJ112sa/status/1024442210933264384,1533081030
"It's sad that ,@,realDonaldTrump, says the same things over and over.  No mention of the skyrocketing deficit, one of the largest fires in CA history burning as he whips the crowd into a frenzy, reuniting families at the border, rise in hate crimes...what a pathetic shell of a human",STPFreak,ABC,https://twitter.com/STPFreak/status/1024436797697404929,1533079740
Stop covering the klan rallies,PoliticalGeoff,ABC,https://twitter.com/PoliticalGeoff/status/1024433003282542593,1533078835
Why are you there?,cdcox05,ABC,https://twitter.com/cdcox05/status/1024431981755428866,1533078592
"There is still time ,@,realDonaldTrump, 
,#,ResignNow, and ,#,MAGA,pic.twitter.com/Jg3ybYq7JA",Zlftcav2,ABC,https://twitter.com/Zlftcav2/status/1024442206684438528,1533081029
If we get rid of trump it will be a whole lot better.,joy_nthejourney,ABC,https://twitter.com/joy_nthejourney/status/1024432186538315776,1533078640
But then aren't we stuck with that dimwitted tool Pence?,winzoid,"joy_nthejourney,ABC",https://twitter.com/winzoid/status/1024432723400650752,1533078768
Yes we are can we get rid of him too? Lol He’s sneaky and I don’t trust him. Most of the senate and House need to go to.,joy_nthejourney,"winzoid,ABC",https://twitter.com/joy_nthejourney/status/1024433133960220673,1533078866
Good,Jeremia83459348,ABC,https://twitter.com/Jeremia83459348/status/1024431667287613442,1533078517
"Hey bot! 
",COResists,"Jeremia83459348,ABC",https://twitter.com/COResists/status/1024432225666957316,1533078650
Will he ever QUIT CAMPAIGNING?!!! ,PlusHealing,ABC,https://twitter.com/PlusHealing/status/1024485462096928768,1533091342
"No. If he did, that would mean he would have to actually work, instead of bloviating about how wonderful he is.",themadrush,"PlusHealing,ABC",https://twitter.com/themadrush/status/1024488443802529793,1533092053
pic.twitter.com/xOkqpdmEti,PlusHealing,"themadrush,ABC",https://twitter.com/PlusHealing/status/1024677298048520193,1533137080
pic.twitter.com/DcFZE7dmvM,JoeKafka1,ABC,https://twitter.com/JoeKafka1/status/1024431705598435328,1533078526
Why do you limit it to Trump associates? Why not list everyone who had or has contact with Russians? Especially all the Democrats?,Ben_Dahlke,"JoeKafka1,ABC",https://twitter.com/Ben_Dahlke/status/1024432516852154370,1533078719
Are you high,JoeKafka1,"Ben_Dahlke,ABC",https://twitter.com/JoeKafka1/status/1024437203810836480,1533079837
Nope. You showed a graphic as if it meant something.,Ben_Dahlke,"JoeKafka1,ABC",https://twitter.com/Ben_Dahlke/status/1024438755866759168,1533080207
It doesn’t mean anything to you?,JoeKafka1,"Ben_Dahlke,ABC",https://twitter.com/JoeKafka1/status/1024439239751225344,1533080322
"It doesn't mean anything, period. 
If I showed you a graphic of the members of Clinton's campaign who had contact with people from an adversarial country, would it mean anything?",Ben_Dahlke,"JoeKafka1,ABC",https://twitter.com/Ben_Dahlke/status/1024440327732486144,1533080581
