content,username,replyto,permalink,time
White people have taken this pumpkin spice thing too far when it gets to the point there's now air freshener.  TOO FAR WHITE PEOPLE!,envydatropic,,https://twitter.com/envydatropic/status/522769898586796032,1413473031
"@,envydatropic, ,@,OneFunnyMummy, this tops the air freshener!!!,pic.twitter.com/s4KSDxRfaZ",ksteenbruggen,envydatropic,https://twitter.com/ksteenbruggen/status/523157500607352832,1413565442
"@,envydatropic, ,@,sarcasticmommy4, There's Pumpkin Spice beer now. I know a ""man"" that had some & liked it. I am questioning his manhood now.",ASweetTweetRose,envydatropic,https://twitter.com/ASweetTweetRose/status/523481970907832320,1413642802
the pumpkin spice lube was too too far,GreatDaneUJ,envydatropic,https://twitter.com/GreatDaneUJ/status/771338428067745792,1472736386
"@,envydatropic, ,@,Shawn_spree, Smh you silly",ChosenKing10,envydatropic,https://twitter.com/ChosenKing10/status/523255720071168000,1413588859
"@,envydatropic, ,@,_NTFG_, Anything past pumpkin pie was too far...",ATownFiredog,envydatropic,https://twitter.com/ATownFiredog/status/522818863067435008,1413484705
"@,envydatropic, Haha! Guilty of the Air Freshner",Lpn0513,envydatropic,https://twitter.com/Lpn0513/status/522771159537156096,1413473331
"@,envydatropic, Congrats on your 250★ tweet! ,http://,favstar.fm/t/522769898586,796032, ,…",Favstar250,envydatropic,https://twitter.com/Favstar250/status/523495426087858178,1413646010
"@,envydatropic, ,@,JSLauderdale, 
I'm still anxiously awaiting the arrival of pumpkin spice Charmin.",borforall,envydatropic,https://twitter.com/borforall/status/523146134014136320,1413562732
"@,envydatropic, ,@,JSLauderdale, there is a pumpkin spice air freshener? where can I get one?",signal7X,envydatropic,https://twitter.com/signal7X/status/523145154514137090,1413562499
"@,envydatropic,, 100 Favs! Your tweet has been favorited by 100 people. ,http://,favstar.fm/t/522769898586,796032, ,…",favstar_bot22,envydatropic,https://twitter.com/favstar_bot22/status/522868957082951681,1413496648
