content,username,replyto,permalink,time
"What is the worst recent example of fake news? Let me know at ,http://,Hannity.com, , ,#,Hannity",seanhannity,,https://twitter.com/seanhannity/status/940415667651584000,1513047541
"Nominee,pic.twitter.com/qW69bJb5yC",historyball,seanhannity,https://twitter.com/historyball/status/940415868621742081,1513047589
"Nominee 5,pic.twitter.com/zlB3BTRfAb",historyball,"historyball,seanhannity",https://twitter.com/historyball/status/940426638524928000,1513050157
"Nominee 6,pic.twitter.com/OMkc7kW4Rt",historyball,"historyball,seanhannity",https://twitter.com/historyball/status/940570597461028866,1513084480
When you ran with the Cliven Bundy story without fact checking any of Bundy's false claims. Bundy supporters later killed two cops and a bystander in Las Vegas.,jjmacnab,seanhannity,https://twitter.com/jjmacnab/status/940644389008834560,1513102073
Boom,missterwilliger,"jjmacnab,seanhannity",https://twitter.com/missterwilliger/status/940676882000904194,1513109820
"You.  ,#,Hannity",JWV52,seanhannity,https://twitter.com/JWV52/status/940418167448403968,1513048137
"You!! ,#,Hannity",Sara_ATL,"JWV52,seanhannity",https://twitter.com/Sara_ATL/status/940418353784598528,1513048182
"You.,pic.twitter.com/8m33v2XYtd",ALT_uscis,seanhannity,https://twitter.com/ALT_uscis/status/940436370442428416,1513052477
"Donald Trump tweeting today that he’s never met any of his sexual assault accusers. ,#,TrumpLies, ,#,SexualPredator",jammalama,seanhannity,https://twitter.com/jammalama/status/940672093838069760,1513108678
Agreed!,ElyseMeer,"jammalama,seanhannity",https://twitter.com/ElyseMeer/status/940699082359746561,1513115113
When did your show last air? That was the most recent example.,bredemske,seanhannity,https://twitter.com/bredemske/status/940750372825690113,1513127341
pic.twitter.com/2KpzHhcv0f,johnleflerjr,"bredemske,seanhannity",https://twitter.com/johnleflerjr/status/940772839325450240,1513132698
"https://,twitter.com/IsraelUSAforev,r/status/940271094807912452, ,…",IsraelUSAforevr,seanhannity,https://twitter.com/IsraelUSAforevr/status/940416881529409536,1513047831
pic.twitter.com/n6Ln4AZieI,IsraelUSAforevr,"IsraelUSAforevr,seanhannity",https://twitter.com/IsraelUSAforevr/status/940416979017584642,1513047854
"Every time you get your audience to focus on imaginary Hillary crimes in order to distract from the true horror that is the Trump presidency, you slimy hack.",_Nefertitties,seanhannity,https://twitter.com/_Nefertitties/status/940715070413262848,1513118925
pic.twitter.com/poZ4iWZyzf,SunshineTheGrey,"_Nefertitties,GurlPlease17,seanhannity",https://twitter.com/SunshineTheGrey/status/941162908620414976,1513225698
"Recently, your attempt to discredit Mueller.",Jules13913,seanhannity,https://twitter.com/Jules13913/status/941088166420893696,1513207878
pic.twitter.com/piKh5tw72k,SteadyasweDodo,"Jules13913,seanhannity",https://twitter.com/SteadyasweDodo/status/941206951152590848,1513236198
I am going with the just evil conspiracy theory about Seth Rich's death despite his family asking you not to do it.,MelindaThinker,seanhannity,https://twitter.com/MelindaThinker/status/941184691918565376,1513230891
