content,username,replyto,permalink,time
"https://www.,hannity.com/media-room/sea,n-hannity-on-media-coverage-of-michael-cohen-in-us-district-court-before-judge-kimba-wood/, ,…",seanhannity,,https://twitter.com/seanhannity/status/986003832672047104,1523916607
"Whatever you say, Mikey’s Mystery Client aka Roger Ailes, Jr. aka Lil’ Hush Money®

,pic.twitter.com/srsgfWekNi",kim,seanhannity,https://twitter.com/kim/status/986111325343440896,1523942235
Lil Hush Money is brilliant :),dcherring,"kim,seanhannity",https://twitter.com/dcherring/status/986112536842940416,1523942524
,kim,"dcherring,seanhannity",https://twitter.com/kim/status/986118687261261824,1523943990
"Tonight on Hannity: The Coverage Of Hannity is Overblown!,pic.twitter.com/dDN9tNekab",slpng_giants,seanhannity,https://twitter.com/slpng_giants/status/986115690103955458,1523943276
pic.twitter.com/WdN0Bqm2Vv,ZacharySussman,"slpng_giants,seanhannity",https://twitter.com/ZacharySussman/status/986200910270550016,1523963594
"No matter what you say you did or didn’t say or do, Cohen taped it all and guess whose already listened to every word? Best advice: flip now while you still can and let your BFFs deal with their own problems.",Leba_Miller,seanhannity,https://twitter.com/Leba_Miller/status/986126147372158981,1523945769
"You better listen to Lebanon, Sean, or you’re going to wind up getting raw dogged along with cell buddy Cohen while Trump’s relaxing on the beach at his Black Sea retirement dacha.",jtacuff,"Leba_Miller,seanhannity",https://twitter.com/jtacuff/status/986227783150944256,1523970001
"It’s leba, unless you really were suggesting Lebanon…or Leviathan ",Leba_Miller,jtacuff,https://twitter.com/Leba_Miller/status/986240980071403520,1523973147
"Oops, did not catch that autocorrect flub.  Sorry.  I’ll correct retweet for double effect ",jtacuff,Leba_Miller,https://twitter.com/jtacuff/status/986242957991804928,1523973619
"The Crux of the Matter Is Not Nativity but Documentation

,#,usurper, / ,#,UnsealObamaRecords, /,#,HeKnew, 
,#,WheresTheBirthCertificate, /,#,ObamaGate,

,http://www.,newenglishreview.org/blog_direct_li,nk.cfm?blog_id=65799, ,…,pic.twitter.com/Y7aSWqgtGR",Frankie79268180,seanhannity,https://twitter.com/Frankie79268180/status/986150630258507776,1523951606
"#,UnsealObamaRecords, 

Retweet if you agree,pic.twitter.com/TJT7vaatba",uniquedeehan1,"Frankie79268180,ChrisFulgenzi,seanhannity",https://twitter.com/uniquedeehan1/status/986823391301648384,1524112005
"I’d gladly flip the switch! 
Justice ,#,Extractispy,pic.twitter.com/1FTLrwvv9q",Rufus_Colter,"uniquedeehan1,RealJimPeterson",https://twitter.com/Rufus_Colter/status/988445503745478656,1524498747
I'll assist in guiding your hand.,Frankie79268180,"Rufus_Colter,uniquedeehan1",https://twitter.com/Frankie79268180/status/988630632199852032,1524542885
"This is a sketch of the man who threatened Stormy Daniels.  Could you please run it on your show tonight as one of your viewers may recognize him?,pic.twitter.com/2NUC6nhPUF",pr0udsnowflake,seanhannity,https://twitter.com/pr0udsnowflake/status/986278194583035904,1523982020
"You know who has never had to use a fixer sean?

,@,HillaryClinton",TheButteryOne,seanhannity,https://twitter.com/TheButteryOne/status/986324850670231553,1523993144
"or ,@,BarackObama",Beccie0725,"TheButteryOne,seanhannity,HillaryClinton",https://twitter.com/Beccie0725/status/986325860717297664,1523993384
"Hey ,@,seanhannity,: You said you have 8 different lawyers. Im sure each one is a specialist in different areas such as real estate, tax law, etc. Michael Cohen's expertise is shady legal and biz issues. So what was the shady/unsavory issue you spoke to Cohen about?",DeanObeidallah,seanhannity,https://twitter.com/DeanObeidallah/status/986211714931847168,1523966170
"What else is there Sean? You got a big decision to make buddy.  The doubling down thing hasn't worked too well. What does Cohen have on you? And more importantly, do you have the stones to tell us yourself?",RogerFisk,seanhannity,https://twitter.com/RogerFisk/status/986146824871448576,1523950699
A few spare tyres in that pic there Sean. Comfort eating?,PaddyH20,seanhannity,https://twitter.com/PaddyH20/status/986153699406942210,1523952338
"fear eating.,pic.twitter.com/PRMXqynAOH",lisaquinninc,"PaddyH20,seanhannity",https://twitter.com/lisaquinninc/status/986154331693985792,1523952489
Should be saving his money....,PaddyH20,"lisaquinninc,seanhannity",https://twitter.com/PaddyH20/status/986162480098566144,1523954431
"I'm going to keep asking you the same question: if this were someone like Rachel Maddow connected to Hillary Clinton's attorney, would you be as dismissive of it?",RandomIgnorance,seanhannity,https://twitter.com/RandomIgnorance/status/986206580977913859,1523964946
"... another mystery solved.,pic.twitter.com/MD8rt7prle",wefunkster,seanhannity,https://twitter.com/wefunkster/status/986170547498373120,1523956355
"Another picture of her X Glendon Crain,pic.twitter.com/hNUVOwUCqU",bab_tinkerbell,"bab_tinkerbell,seanhannity",https://twitter.com/bab_tinkerbell/status/986320520319774720,1523992111
looks like a cleaned up version of her sketch.what Skanky people!,ntvnyr173,"bab_tinkerbell,seanhannity",https://twitter.com/ntvnyr173/status/986321317124329473,1523992301
You got that 1 Right,bab_tinkerbell,"ntvnyr173,seanhannity",https://twitter.com/bab_tinkerbell/status/986329913073586176,1523994351
"OMG Sean, all of your sins are coming to light! I hope my kidneys last long enough to see you fry! lol.",david_becken,seanhannity,https://twitter.com/david_becken/status/986126973738061825,1523945966
I hope they do too bro. Get well!,mrmcdonald78,"david_becken,seanhannity",https://twitter.com/mrmcdonald78/status/986329710773833729,1523994302
"really mate,? What was your pseudonym on the papers when Mikey the ""Fixer"" paid off your accuser so you could keep your job?

Keep on digging that hole for yourself, it's the first time you've been entertaining.,pic.twitter.com/S2jIz7ORva",mal2m,seanhannity,https://twitter.com/mal2m/status/986113610966593536,1523942780
"Since the FBI ordered this investigation of the attorney, he has stated information that should be covered by client/attorney privilege.  Maybe their are members of the FBI still connected with the Clintons that want your reputation tarnished.  You are a voice for conservatives!",11bon,seanhannity,https://twitter.com/11bon/status/986135206712225792,1523947929
crimes are not covered by attorney client privilege!! This has been explained over and over! no amount of BUT CLINTON!!!! Will make Hannity less screwed than he already is... karma for what he  did to the Rich family,Kevincent26,"11bon,seanhannity",https://twitter.com/Kevincent26/status/986139376089415680,1523948923
"I take it you're still upset about being named a client of Michael Cohen? But don't worry if you did nothing wrong,  you will have no problems then. Let the investigators do their thing. Until then you have lost credibility. ,#,FireHannityNow,.",TywinResists,seanhannity,https://twitter.com/TywinResists/status/986110323404034048,1523941996
"If he’s not a client, then why did Cohen’s attorney identify him as one in court? I’m thinking they were hoping to get the files sealed, but the truth will come out soon enough. ",repowoman2001,"TywinResists,seanhannity",https://twitter.com/repowoman2001/status/986284841808420866,1523983605
"yes it will, and the truth always finds a way. Its a lot like karma, the truth and karma both are going to hit even harder then before.",TywinResists,"repowoman2001,seanhannity",https://twitter.com/TywinResists/status/986285770007773188,1523983826
pic.twitter.com/FDB87Nzviz,impeachdrumpf1,seanhannity,https://twitter.com/impeachdrumpf1/status/986115176209383424,1523943153
"Mr.  Cleese, nobody does it better . . .",jtacuff,"impeachdrumpf1,seanhannity",https://twitter.com/jtacuff/status/986221384287141888,1523968475
pic.twitter.com/KxlIoMGyg4,opusmarta,seanhannity,https://twitter.com/opusmarta/status/986105792586833921,1523940916
"Looks like Robert Mueller has a new subject. This Witch Hunt is looking very much like a House Of Cards, the Cat 5 winds of Stormy are bringing the house down.",pokie3154,seanhannity,https://twitter.com/pokie3154/status/986103525796130817,1523940376
"Cohen fought For Days to keep your name out of the Public... For DAYS!  But, it’s not a big deal,pic.twitter.com/fk90Jwsvw5",Kellyk1969,seanhannity,https://twitter.com/Kellyk1969/status/986215583065747456,1523967092
"Did Michael Cohen pay off any of these girls for you? ,#,HannityCohen,pic.twitter.com/hpdMsgPvLU",KMac_Rants,seanhannity,https://twitter.com/KMac_Rants/status/986106827610914816,1523941163
"FEDERAL JUDGE KIMBA WOOD OFFICIATED GEORGE SOROS WEDDING

ONLY POLITICAL PEOPLE INVITED
NANCY PELOSI
& CA LT GOV GAVIN NEWSOM

AND THIS IS THE SAME JUDGE IN COHEN BS ,pic.twitter.com/b9jwM9qatI",bab_tinkerbell,seanhannity,https://twitter.com/bab_tinkerbell/status/986264491418705921,1523978753
pic.twitter.com/rpFzCwQnmw,david_becken,seanhannity,https://twitter.com/david_becken/status/986149476481032192,1523951331
"He would have gotten away with it too, if it weren’t for you meddling kids!",rogeliotavera62,"david_becken,seanhannity",https://twitter.com/rogeliotavera62/status/986237027694739457,1523972205
You are under investigation! You should be fired! Boycott Hannity’s advertisers! What Sean is not telling you is about Trumps billion of $ in cuts coming. It’s reported that hunger in the US is going to rise! Hannity please tell us the truth about the cuts coming!,VJBEADS1,seanhannity,https://twitter.com/VJBEADS1/status/986109911661592576,1523941898
pic.twitter.com/dwmRDVI76n,VJBEADS1,"VJBEADS1,seanhannity",https://twitter.com/VJBEADS1/status/986137786255208448,1523948544
"Hey Hannity ...you know this guy?,pic.twitter.com/I0JPq1Pwa3",psychohornet1,seanhannity,https://twitter.com/psychohornet1/status/986288787411144704,1523984545
"Cool. Then there's no client-attorney privilege.
,#,firehannity, .,@,seanhannity, .,@,FoxNews",SFG303,seanhannity,https://twitter.com/SFG303/status/986171241013784576,1523956520
"Headline of the Day (so far): ""Sean Hannity, Michael Cohen and Donald Trump: Three amigos, tangled in a web of stupidity"" -Salon
",blue_robin17,seanhannity,https://twitter.com/blue_robin17/status/986239030789468160,1523972683
"U Rightwingers/CONservatives Have, Are, and Will ALWAYS be on the Wrong/EVIL side of History. It’s Ur “purpose!!” Good Cannot exist w/o Evil. One Cannot exist w/o the Other therefore ur “needed” too. U’ll ALWAYS Lose in the End though b/c Good ALWAYS Wins in the End,pic.twitter.com/r39im71fgS",eloquere,seanhannity,https://twitter.com/eloquere/status/986185302443094016,1523959873
"Handlers finally got you to stop digging, eh, Lumpy?
Court gallery gasped...and laughed when they revealed your name as the 3rd cohen client, Lumpy.
Poor Lumpy. They're laughing at you.",nnom35,seanhannity,https://twitter.com/nnom35/status/986100677041680384,1523939696
"@,realDonaldTrump, ,@,michaelcohen212,pic.twitter.com/ACeaSAPN3s",AllochkaFL2017,seanhannity,https://twitter.com/AllochkaFL2017/status/986211647256657925,1523966154
