content,username,replyto,permalink,time
"You are unpopular Linda because you incite hate. I'm not a Jew but I know an ass when I see one.,https://,twitter.com/DailyCaller/st,atus/936242638113697794, ,…",carold501,,https://twitter.com/carold501/status/936244053640966145,1512052951
"I'm not Jewish either and I don't hate her at all. Just don't trust her.  Big difference.  In today's culture, if you disagree with someone or some idea, your're labeled a hater.   She is not what she pretends to be.",SusanLFleming2,"carold501,erotao",https://twitter.com/SusanLFleming2/status/936245483848323072,1512053292
"I didn't say I hated her but definitely don't like her.  She DOES incite hate toward the Jews, especially.",carold501,"SusanLFleming2,erotao",https://twitter.com/carold501/status/936255909826912257,1512055778
Oh I know you didn't. That was strictly me.....,SusanLFleming2,"carold501,erotao",https://twitter.com/SusanLFleming2/status/936256537319919616,1512055927
Ok....gotcha.,carold501,"SusanLFleming2,erotao",https://twitter.com/carold501/status/936257354118713344,1512056122
Yes..she makes it known how she feels about anyone Jewish.  That's for sure.,SusanLFleming2,"carold501,erotao",https://twitter.com/SusanLFleming2/status/936257904654585856,1512056253
For sure. ;-),carold501,"SusanLFleming2,erotao",https://twitter.com/carold501/status/936258229247586304,1512056331
Why is this woman out there speaking for women when she SHOULD be in jail for declaring jihad on our President??,tharon_pleiades,"carold501,WhiteHatGuy",https://twitter.com/tharon_pleiades/status/936284950654992384,1512062702
Who is this woman.  Isn’t all this anti semitism hate speech,granthamdor,"carold501,cannoneerfour",https://twitter.com/granthamdor/status/936295602488561664,1512065241
She’s also best friends with Colin Kaepernick who converted to Islam. Took pictures with him and his girlfriend,CMcCafferty3,carold501,https://twitter.com/CMcCafferty3/status/936248900553531392,1512054107
