content,username,replyto,permalink,time
"@,capnaux, I can't get it to share right but KCRG TV-9 just posted a story on interesting contrails over Eastern IA.You will like the comments",jbgcook,,https://twitter.com/jbgcook/status/593153698211074048,1430253836
"@,jbgcook, I saw your  link but don't see comments. Would love to! Lol",capnaux,jbgcook,https://twitter.com/capnaux/status/593166809966194688,1430256962
"@,capnaux, they were on the stations Facebook posting of it. You can guess how it went.",jbgcook,capnaux,https://twitter.com/jbgcook/status/593170073214287872,1430257740
"@,jbgcook, lol u need to post the ,#,chemtrails, switch photo I sent out!",capnaux,jbgcook,https://twitter.com/capnaux/status/593171838295003136,1430258161
"@,capnaux, done ;)",jbgcook,capnaux,https://twitter.com/jbgcook/status/593178384810651648,1430259722
