content,username,replyto,permalink,time
".,@,matthewchoi2018,: ,@,tedcruz, makes ,@,BetoORourke,’s mom an issue in ,#,txsen, race ,https://www.,texastribune.org/2018/06/06/bet,o-o-rourke-ted-cruz-texas-mom-attack-taxes/, ,…, ,#,tx2018, ,#,txelections,pic.twitter.com/1RoVCnapy3",evanasmith,,https://twitter.com/evanasmith/status/1004418881933529090,1528307097
"As ,@,tedcruz, should know, it's never fair to bring family members who are not under investigation or indictment for an criminal offense into question. After all, Beto's mom isn't running for office, now is she? No. She's not, her son is. ,#,BetoForTexas",CynthiaEOwens1,"evanasmith,matthewchoi2018",https://twitter.com/CynthiaEOwens1/status/1004464914453417985,1528318072
"And how disrespectful to attack someone’s mother! Do you have no manners ,@,tedcruz,. How did it feel when Trump tweeted out a picture of your wife versus Melania. Your wife is someone’s mother too right? For this disgusting act alone you don’t deserve to represent Texas!",McTic1,"CynthiaEOwens1,evanasmith",https://twitter.com/McTic1/status/1004533026397667328,1528334311
"How low can Cruz go? Pretty low, it seems",knifewinggal1,"evanasmith,matthewchoi2018",https://twitter.com/knifewinggal1/status/1004424306200317952,1528308390
He's a snake.,PrettyBeaches,"knifewinggal1,evanasmith",https://twitter.com/PrettyBeaches/status/1004489598485975040,1528323957
Lower than a snake’s belly in a wagon rut.,knifewinggal1,"PrettyBeaches,evanasmith",https://twitter.com/knifewinggal1/status/1004490481865089024,1528324168
"Oh please. Wanna talk about mom’s?
Ted Cruz’s Mother Was On Official List Of Canadian Citizens Eligible To Vote ,https://,talkingpointsmemo.com/muckraker/ted-,cruz-mother-canadian-voter-list, ,…, via ,@,TPM",lizzzzz_c,"evanasmith,matthewchoi2018",https://twitter.com/lizzzzz_c/status/1004481429093474304,1528322009
"Wanna play that game ,@,tedcruz,? Okay.,https://www.,nytimes.com/politics/first,-draft/2015/11/10/when-ted-cruzs-father-campaigned-for-fidel-castro/, ,…",HeideggerFan,"evanasmith,matthewchoi2018",https://twitter.com/HeideggerFan/status/1004530965325271040,1528333820
"Praising Fidel Castro.,pic.twitter.com/WMk9juCSCz",jnicky63,"HeideggerFan,evanasmith",https://twitter.com/jnicky63/status/1004535276184702976,1528334847
"Everyone says Ted Cruz is at least intelligent. Putting aside his Neanderthal politics and general unlikability, how does he come up with the lowest stunts? Is that how he uses his intelligence? Texas deserves better.",skwonaldinho,"evanasmith,matthewchoi2018",https://twitter.com/skwonaldinho/status/1004495715014344704,1528325415
Cruz uses play from trump’s playbook.  Family members are used for ammunition. How low will he go?,elkeded,"evanasmith,matthewchoi2018",https://twitter.com/elkeded/status/1004490085688070145,1528324073
"Tax evasion is quaint compared to your dad killing JFK. Right ,@,tedcruz, ?",BernyBernstein,"evanasmith,matthewchoi2018",https://twitter.com/BernyBernstein/status/1004469710786883584,1528319215
"And his wife is ugly, so I’ve heard. Can’t remember who said that.",GregIrving61,"BernyBernstein,evanasmith",https://twitter.com/GregIrving61/status/1004498556567224320,1528326093
Uh oh. The whole famdamily of Cruz better be SKUHWEEEEKY clean.,theROOFDIVA,"evanasmith,matthewchoi2018",https://twitter.com/theROOFDIVA/status/1004534258294231040,1528334605
It's SOOOO not.,jnicky63,"theROOFDIVA,evanasmith",https://twitter.com/jnicky63/status/1004535483035258880,1528334897
"Wait, isn't Ted Cruz the Zodiac Killer?",suzannekco,"evanasmith,matthewchoi2018",https://twitter.com/suzannekco/status/1004464247294685184,1528317913
I'm so proud that my mom committed tax fraud! What a joke,texheim,"evanasmith,matthewchoi2018",https://twitter.com/texheim/status/1004459533689872385,1528316789
"Or, I’m proud my Mom took accountability for a mistake she made in the past.  Now let’s get back to focusing on how to improve Texan’s lives.",hhowell1,"texheim,evanasmith",https://twitter.com/hhowell1/status/1004521766486728704,1528331626
