username,date,retweets,favorites,text,geo,mentions,hashtags,tweetid,conversationid,replyto,permalink,imagelink
"TroyRiser","2018-07-31-17:09",0,0,"'“I snookered them,” he [Jones] said of state Republicans.'' A batshit crazy Holocaust denier gamed the system. David Duke pulled the same shit decades ago. Former Democratic congresswoman Cynthia Ann McKinney is rabidly anti-Semitic. Keith Ellison has ties to Nation of Islam.","","","","1024401634581987329","1022692535792107525","SeahawksFTW NateBoyer37","https://twitter.com/TroyRiser/status/1024401634581987329",""
"NinersInMySoul","2018-07-16-12:12",0,0,"Seen a video about Cris Jackson aka Mahmoud Abdul Rauf after converting to Islam he wouldn't stand for the anthem before NBA games because they symbolized 'OPRESSION' he was suspended without pay was traded to kings after agreeing to stand but able to cover his face @ Kaepernick7","","@ Kaepernick7","","1018891052625944576","","","https://twitter.com/NinersInMySoul/status/1018891052625944576",""
"pyramidfire","2018-07-12-22:12",1,1,"Colin Kaepernick’s “Authentic Islam”-following fiancé: Now you know why Linda Sarsour loves him https://gellerreport.com/2017/08/kaepernick-islam-sarsour.html/ … via @ pamelageller","","@ pamelageller","","1017592536439894016","","","https://twitter.com/pyramidfire/status/1017592536439894016",""
"SpiritdeCharlie","2018-07-05-10:50",0,0,"7 Tips for Colin Kaepernick http://bit.ly/2lXoZFK # Islamic # Islam # tcot","","","# Islamic # Islam # tcot","1014884337525903360","","","https://twitter.com/SpiritdeCharlie/status/1014884337525903360",""
"LittleLakeHous1","2018-07-04-18:01",1,2,"Just like Colin Kaepernick hijacked the NFL for the infiltration of ISLAM. We are under attack and some people are calling the Statue of Liberty climber a hero, how very sad and uneducated these people are. # statueofliberty","","","# statueofliberty","1014630318672891904","1014625527393673217","k8reillynj","https://twitter.com/LittleLakeHous1/status/1014630318672891904",""
"BekahTweetz","2018-07-04-16:12",0,0,"I think of the religions including Islam that white people brought, 'introducing God' and wiping out races of people at the same time.","","","","1014602925660884992","1012452260998070272","LeftSentThis Kaepernick7","https://twitter.com/BekahTweetz/status/1014602925660884992",""
"pyramidfire","2018-07-03-23:09",1,0,"Colin Kaepernick’s “Authentic Islam”-following fiancé: Now you know why Linda Sarsour loves him https://gellerreport.com/2017/08/kaepernick-islam-sarsour.html/ … via @ pamelageller","","@ pamelageller","","1014345497581178880","","","https://twitter.com/pyramidfire/status/1014345497581178880",""
"ProgressiveCJG","2018-06-30-15:51",0,0,"Sadly, there are a lot of black anti-Semites out there, most notably Louis Farrakhan and his Nation of Islam.","","","","1013148107553599491","1012452260998070272","Slytherinwins LeftSentThis Kaepernick7","https://twitter.com/ProgressiveCJG/status/1013148107553599491",""
"pyramidfire","2018-06-28-21:39",1,0,"Colin Kaepernick’s “Authentic Islam”-following fiancé: Now you know why Linda Sarsour loves him https://gellerreport.com/2017/08/kaepernick-islam-sarsour.html/ … via @ pamelageller","","@ pamelageller","","1012510751171457025","","","https://twitter.com/pyramidfire/status/1012510751171457025",""
"RobRobberJones","2018-06-25-07:17",1,1,"The problem is Muslims want to bring their ideology including sharia law into the countries they occupy by being “refugees” it’s all about Islam in the end they have no intention to interstate into western society","","","","1011206784911118336","1011078254130843648","womensmarch NILC_org","https://twitter.com/RobRobberJones/status/1011206784911118336",""
"humanoidist","2018-06-17-11:02",0,0,"That's a crock of shit. I'm with you on kneeling, but when you thank people for being mindless sheep, I'm done with you. And I'm not just talking about followers of Islam. RELIGION POISONS EVERYTHING!","","","","1008364194767368192","1007803827741962240","Kaepernick7 Tony_Porras2050","https://twitter.com/humanoidist/status/1008364194767368192",""
"Larry2211983","2018-06-16-21:33",0,0,"We of the body of CHRIST recognize Islam as false.","","","","1008160587434602496","1007803827741962240","Kaepernick7","https://twitter.com/Larry2211983/status/1008160587434602496",""
"bobmuts","2018-06-16-20:51",0,0,"Sorry; but Islam is beyond racism....Wake UP","","","","1008150058489876480","1007803827741962240","OmgWebsites Kaepernick7","https://twitter.com/bobmuts/status/1008150058489876480",""
"OmgWebsites","2018-06-16-09:46",0,4,"SORRY ... i commend u 4 what u have done in protest of murder of Black men but I do not agree with UR promotion of religion. Black Christians do not celebrate Ramadan. And I know Islam, I praise God for opening my eyes out of that community. SEEK GOD VS RELIGION pic.twitter.com/8yNbusCISq","","","","1007982716032253953","1007803827741962240","Kaepernick7","https://twitter.com/OmgWebsites/status/1007982716032253953","https://pbs.twimg.com/media/Df0S694UcAAJJD3.jpg"
