username,date,retweets,favorites,text,geo,mentions,hashtags,tweetid,conversationid,replyto,permalink,imagelink
"AmericaIsBusted","2018-04-24-13:52",0,0,"What does being a supporter of a Democratic Socialist have to do with being a total socialist? You do realize those are not mutually exclusive right? Free stuff? Nothing is free. Something you fail to grasp it seems especially with tax cuts, border walls, and corporate welfare.","","","","988838100049670144","988511619205554178","Whattha1983 mileswjarz","https://twitter.com/AmericaIsBusted/status/988838100049670144",""
"ElectHAMILTON","2018-02-06-18:21",0,2,"The Democratic Party is NO LONGER the party of John F. Kennedy or Harry S. Truman. The Democrat Party is now the party of Open Border Illegal immigrants, Antifa anarchists, radical 'bra-burning' feminazis, weak military & Free stuff seekers # NV03 # NVSEN # NV04 @ TheNVIndy # 8NN # RGJpic.twitter.com/NO2jsVfoHe","","@ TheNVIndy","# NV03 # NVSEN # NV04 # 8NN # RGJpic","961016909171838976","","","https://twitter.com/ElectHAMILTON/status/961016909171838976","https://pbs.twimg.com/media/DVY3KNoVAAAiJDQ.jpg"
"nascarnoid","2018-01-11-19:58",0,1,"It’s my struggle with voting Democratic. Ultimately, I am all for the benefits of immigration, but I don’t want the appeal to be free stuff and votes. An open border with a 3rd world country and no limitations on refugees doesn’t work for me.","","","","951619451430035456","951581880444510209","","https://twitter.com/nascarnoid/status/951619451430035456","https://pbs.twimg.com/profile_images/3566537449/99f6046001d4cf0d19ca9c3517bae046_normal.jpeg"
"TheRealTalkMD","2016-11-17-22:36",0,0,"This is real life idiots The Democratic Party will never win another election with you crazy left ideas no border, and free stuff lolol","","","","799456286958120961","799454166544510976","CNN","https://twitter.com/TheRealTalkMD/status/799456286958120961",""
"ajJUSTaj","2016-10-27-21:01",0,0,"Maybe we need BC police to help us catch border crossers in the south. We give them a democratic ballot and send them to vote,free stuff https://twitter.com/globalbc/status/791764193007525888 …","","","","791807092436836352","","","https://twitter.com/ajJUSTaj/status/791807092436836352",""
"DillyWolfe","2014-06-30-15:01",2,0,"@ conserv_tribune why would Obama secure the border, he is locking up the democratic vote, more free stuff to give away at my expense.","","@ conserv_tribune","","483686905028939777","483671826120204288","conserv_tribune","https://twitter.com/DillyWolfe/status/483686905028939777",""
"MindyBeyer1","2014-02-17-21:37",0,0,"US BORDER LOTS OF FREE STUFF AHEAD! HEALTHCARE●EDUCATION ●HOUSING●FOOD●CASH●Sponsored by the Democratic Nat.Committee pic.twitter.com/E5eUUfan2v","","","","435603858338119680","","","https://twitter.com/MindyBeyer1/status/435603858338119680","https://pbs.twimg.com/media/BguTZrFIcAAkqcC.jpg"
