content,username,replyto,permalink,time
"Trump believes he can:

Lie daily

Bang porn stars & play mates & pay them to keep quiet

Commit adultery, grab women by the genitals and have sex with married women

Mistreat people, publicly embarrass them, and call them names

Discriminate against non-white people,https://,twitter.com/Jonath8888Lewi,s/status/1024360668840034306, ,…",TalbertSwan,,https://twitter.com/TalbertSwan/status/1024364502865915904,1533062503
pic.twitter.com/yVpK4QUDtr,melissalees13,"TalbertSwan,patty_hawthorne",https://twitter.com/melissalees13/status/1024368056703873024,1533063351
I can't believe he even asked this. Wow!,wideawake1808,TalbertSwan,https://twitter.com/wideawake1808/status/1024365829423542272,1533062820
Is he real?,carwarr1,"wideawake1808,TalbertSwan",https://twitter.com/carwarr1/status/1024369759020826625,1533063757
Can't be or either he lives under a rock.,wideawake1808,"carwarr1,TalbertSwan",https://twitter.com/wideawake1808/status/1024369895021203462,1533063789
I’m thinking the rock.,carwarr1,"wideawake1808,TalbertSwan",https://twitter.com/carwarr1/status/1024378971675389952,1533065953
pic.twitter.com/8eHequYsaf,Vicky4Trump,TalbertSwan,https://twitter.com/Vicky4Trump/status/1024386391596138496,1533067722
He built a church there apparently,OneVoiceOneUSA,"Vicky4Trump,TalbertSwan",https://twitter.com/OneVoiceOneUSA/status/1024388680759357440,1533068268
lol Apparently ,Vicky4Trump,"OneVoiceOneUSA,TalbertSwan",https://twitter.com/Vicky4Trump/status/1024393729413529601,1533069472
"There are at least ""7 deadly sins"" thst Trump is guity of",ggagne,TalbertSwan,https://twitter.com/ggagne/status/1024366136102666241,1533062893
"Steal - Trump University

Covet - He is obsessed with Obama",SPLACali,TalbertSwan,https://twitter.com/SPLACali/status/1024365198801424385,1533062669
"He's been coveting the ""old money"" and status/recognition he never got from that NYC crowd for decades.",runzwithknives,"SPLACali,TalbertSwan",https://twitter.com/runzwithknives/status/1024366257334702080,1533062922
So why don’t the journalists just come out and say it? They dissect his tweets for hours.  I wish they would just start out with “president Trump told another lie today”.,huntfornancy,TalbertSwan,https://twitter.com/huntfornancy/status/1024368014949531649,1533063341
"Smh. The sanctimony of those with TDS is so real, it’s unbelievable. Why don’t you run for president since you’re obviously a more pure and sanctified man of God than Trump ever could be?",Jonath8888Lewis,TalbertSwan,https://twitter.com/Jonath8888Lewis/status/1024377310831632386,1533065557
Pretty much anyone would be.,akaProfessorCha,"Jonath8888Lewis,TalbertSwan",https://twitter.com/akaProfessorCha/status/1024381337808121862,1533066517
"And right there, you prove my point. Smh.  And you’re a professor?? Smh. I feel sorry for your students and their brain cells popping from the bullshit you must teach them.",Jonath8888Lewis,"akaProfessorCha,TalbertSwan",https://twitter.com/Jonath8888Lewis/status/1024382973116866560,1533066907
