username,date,retweets,favorites,text,geo,mentions,hashtags,tweetid,conversationid,replyto,permalink,imagelink
"NickTScully","2018-01-20-06:47",0,0,"FACT CHECK: Did a Woman Wear This Revealing Dress to a # Hollywood Event to Protest # SexualHarassment? https://www.snopes.com/a-woman-in-a-revealing-dress-attended-a-hollywood-event-amidst-protests-against-sexual-harassment/#.WmMsMtWXKys.twitter …","","","# Hollywood # SexualHarassment","954681720422502400","","","https://twitter.com/NickTScully/status/954681720422502400",""
"Every_Protest","2018-01-20-01:28",0,0,"Did a Woman Wear This Revealing Dress to a Hollywood Event to Protest Sexual Harassment? http://ift.tt/2rtItYf","","","","954601394899771398","","","https://twitter.com/Every_Protest/status/954601394899771398",""
"fast_hollywood","2018-01-19-23:20",0,0,"Did a Woman Wear This Revealing Dress to a Hollywood Event to Protest Sexual Harassment? http://hollywoodnews.press/did-a-woman-wear-this-revealing-dress-to-a-hollywood-event-to-protest-sexual-harassment/ …","","","","954569386148364288","","","https://twitter.com/fast_hollywood/status/954569386148364288",""
"CelebrGossipnew","2018-01-19-22:45",0,0,"Did a Woman Wear This Revealing Dress to a Hollywood Event to Protest Sexual Harassment? - http://Snopes.com http://dlvr.it/QBzL9C","","","","954560502214008832","","","https://twitter.com/CelebrGossipnew/status/954560502214008832",""
"Hollywoodopolis","2018-01-19-19:31",0,0,"Did a Woman Wear This Revealing Dress to a Hollywood Event to Protest Sexual Harassment? - http://Snopes.com http://ift.tt/2Dl2tO7 # Hollywood # CelebrityNews","","","# Hollywood # CelebrityNews","954511675985670144","","","https://twitter.com/Hollywoodopolis/status/954511675985670144",""
"Hollywoodwatchs","2018-01-19-18:37",1,1,"Did a Woman Wear This Revealing Dress to a Hollywood Event to Protest Sexual Harassment? - http://Snopes.com http://dlvr.it/QByQ1W","","","","954497968882634754","","","https://twitter.com/Hollywoodwatchs/status/954497968882634754",""
"FactandMythCom","2018-01-19-16:07",0,0,"Did a Woman Wear This Revealing Dress to a Hollywood Event to Protest Sexual Harassment? http://ift.tt/2DNvIKh","","","","954460316145999876","","","https://twitter.com/FactandMythCom/status/954460316145999876",""
"SimplifyReason","2018-01-19-16:07",0,0,"FACT CHECK: Did a Woman Wear This Revealing Dress to a Hollywood Event to Protest Sexual Harassment? Did a Woman Wear This Revealing Dress to a Hollywood Event to Protest Sexual Harassment? via # Snopes # FactCheck pic.twitter.com/XAfBFqcSWQ","","","# Snopes # FactCheck","954460303181385729","","","https://twitter.com/SimplifyReason/status/954460303181385729","https://pbs.twimg.com/media/DT7slk8XkAAuMDH.jpg"
"dld64376621","2018-01-02-22:47",0,0,"Hollywood women going after sexual harassment. Good thing these very men don't dress as revealing & daring as most Hollywood women or they'd really be in trouble.","","","","948400406408974336","","","https://twitter.com/dld64376621/status/948400406408974336",""
