username,date,retweets,favorites,text,geo,mentions,hashtags,tweetid,conversationid,replyto,permalink,imagelink
"john_b_eats","2013-05-09-10:57",2,1,"She was the complete package. DEMOCRAT Planned Parenthood founder, Margaret Sanger, speaking at a KKK rally. pic.twitter.com/V5Pnv2il3q","","","","332509698358132738","","","https://twitter.com/john_b_eats/status/332509698358132738","https://pbs.twimg.com/media/BJ1PzxeCQAIW7Tz.jpg"
"RafaelMerrydel1","2013-05-01-22:24",0,0,"@ AnnCoulter Opening scene of Margaret Sanger Monologues: Sanger speaking at KKK rally 'more from fit less from unfit' # coming2collegenearU","","@ AnnCoulter","# coming2collegenearU","329783364099923968","","","https://twitter.com/RafaelMerrydel1/status/329783364099923968",""
"womanistevoluti","2013-02-12-20:54",0,0,"Planned Parenthood founder Margaret Sanger speaking at a kkk rally. @ PPact and their sordid history.","","@ PPact","","301509674749009920","","","https://twitter.com/womanistevoluti/status/301509674749009920",""
"SchortgenRealty","2013-01-30-11:12",0,0,"There is Planned Parenthood FOUNDER, Margaret Sanger, speaking at a KKK rally! http://fb.me/2hAtQpdvc","","","","296652156818300930","","","https://twitter.com/SchortgenRealty/status/296652156818300930",""
"kentuckyblessin","2013-01-30-10:50",0,0,"This is guess who.......... DEMOCRAT Planned Parenthood founder, Margaret Sanger, speaking at a KKK rally. http://fb.me/81Ts3ThSa","","","","296646614532096000","","","https://twitter.com/kentuckyblessin/status/296646614532096000",""
"WhyteSapphire","2013-01-30-03:14",0,0,"This is guess , the democrat Planned Parenthood founder, Margaret Sanger, speaking at a KKK rally. Nice one... http://fb.me/147WPzUun","","","","296531882827448320","","","https://twitter.com/WhyteSapphire/status/296531882827448320",""
"redrivergrl","2013-01-29-20:36",1,0,"margaret sanger speaking kkk - Google Search http://www.google.com/search?q=margaret+sanger+speaking+kkk&hl=en&tbo=d&qscrl=1&rlz=1T4GGHP_enUS472US486&source=lnms&tbm=isch&sa=X&ei=YHIIUYWGDub5igLxg4DoCg&sqi=2&ved=0CAcQ_AUoAA&biw=1093&bih=495#imgrc=6rRuSXPJTPW6wM%3A%3BbplGrTcJps-48M%3Bhttp%253A%252F%252Fwww.uvalies.org%252Fimages%252Fmargaret_sanger_kkk.jpg%3Bhttp%253A%252F%252Fwww.uvalies.org%252Fsanger.html%3B362%3B322 …","","","","296431635618992130","","","https://twitter.com/redrivergrl/status/296431635618992130",""
"SantoLippo_","2013-01-29-18:29",0,0,"Racist and founder of Planned Parenthood Margaret Sanger speaking at a KKK rally http://fb.me/27pnyKehj","","","","296399733746982913","","","https://twitter.com/SantoLippo_/status/296399733746982913",""
"BishopSPope","2013-01-29-16:28",18,3,"Well...? DEMOCRAT Planned Parenthood founder, Margaret Sanger, speaking at a KKK rally. NOT PhotoShopped. http://fb.me/1SPnLVBir","","","","296369338041114624","","","https://twitter.com/BishopSPope/status/296369338041114624",""
"WendyJoMason","2013-01-29-14:33",1,0,"@ REALBROTHER0003 DEMOCRAT Planned Parenthood founder, Margaret Sanger, speaking at a KKK rally. # racistpic.twitter.com/TkxV5kbH","","@ REALBROTHER0003","# racistpic","296340293274443776","296336031148564480","REALBROTHER0003","https://twitter.com/WendyJoMason/status/296340293274443776","https://pbs.twimg.com/media/BBzP7TpCIAA0CuL.jpg"
"DFWtheBold","2013-01-29-13:08",0,0,"Seen this? RT @ Aundria_Hamby Democrat Planned Parenthood founder..Margaret Sanger speaking @a KKK Rally! pic.twitter.com/mzZ4dS1j","","@ Aundria_Hamby","","296318855217827840","","","https://twitter.com/DFWtheBold/status/296318855217827840","https://pbs.twimg.com/media/BBy76zQCAAA5_oY.jpg"
"lambchopsactual","2013-01-29-13:02",1,0,"Dem. & Planned Parenthood founder Margaret Sanger speaking at KKK rally. # tcot # p2 # OPSLAMpic.twitter.com/xHtwv0uu","","","# tcot # p2 # OPSLAMpic","296317531885535232","","","https://twitter.com/lambchopsactual/status/296317531885535232","https://pbs.twimg.com/media/BBy7Oa1CAAErkV0.jpg"
"ModelJusticeLee","2013-01-27-11:35",13,4,"This is guess who.......... DEMOCRAT Planned Parenthood founder, Margaret Sanger, speaking at a KKK rally. http://fb.me/2s4WcPU4Q","","","","295570829566164992","","","https://twitter.com/ModelJusticeLee/status/295570829566164992",""
"ModelJusticeLee","2013-01-27-11:35",21,5,"This is guess who.......... DEMOCRAT Planned Parenthood founder, Margaret Sanger, speaking at a KKK rally. http://fb.me/1U7xuY05a","","","","295570824113573888","","","https://twitter.com/ModelJusticeLee/status/295570824113573888",""
"michelebirdsong","2012-11-23-03:08",0,0,"@ MZHemingway Jay on Facebook posted vintage newspaper clipping showing Margaret Sanger, PPH founder speaking surrounded by KKK pinheads","","@ MZHemingway","","271887999749476352","271474731423784962","MZHemingway","https://twitter.com/michelebirdsong/status/271887999749476352",""
"debicrouch","2012-11-11-10:59",0,0,"@ 1DaMFarmer Speaking of reading - KKK started by Dems. Abolition opposed by Dems. MLK was in GOP. Margaret Sanger - racist","","@ 1DaMFarmer","","267657812887359488","266211536383647744","1DaMFarmer","https://twitter.com/debicrouch/status/267657812887359488",""
"lcbchefperry","2012-09-30-00:11",0,0,"Margaret Sanger speaking to her kind, the KKK. Trick blacks into killing off their race. @ ChrisLoesch @ adamsbaldwin http://margaretsanger.blogspot.com/2008/03/six-quotes-hint-why-marget-sanger.html?m=1 …","","@ ChrisLoesch @ adamsbaldwin","","252259421600743425","","","https://twitter.com/lcbchefperry/status/252259421600743425",""
"thatbillokeefe","2012-09-29-23:52",0,1,"@ ChrisLoesch Margaret Sanger attending women's auxiliary of the KKK speaking on eugenics http://www.realclearreligion.com/index_files/page42_blog_entry228_summary_1.jpg …","","@ ChrisLoesch","","252254495214551040","","","https://twitter.com/thatbillokeefe/status/252254495214551040",""
"ToneDagger","2012-08-27-10:19",0,0,"RT @ CraigR3521 @HeidiForTexas: Margaret Sanger, founder of Planned Parenthood, speaking to local KKK in Silver Lake, NJ http://fb.me/1zA35yev3","","@ CraigR3521","","240091238169202688","","","https://twitter.com/ToneDagger/status/240091238169202688",""
"CraigR3521","2012-08-27-10:02",5,0,"# waronwomen RT @HeidiForTexas: Margaret Sanger, founder of Planned Parenthood, speaking to local KKK in Silver Lake, NJ http://fb.me/1zA35yev3","","","# waronwomen","240086887199551488","","","https://twitter.com/CraigR3521/status/240086887199551488",""
"girlgonegalt","2012-08-27-10:00",0,0,"Margaret Sanger, founder of Planned Parenthood, speaking to local KKK in Silver Lake, NJ. http://fb.me/1zA35yev3","","","","240086497225764864","","","https://twitter.com/girlgonegalt/status/240086497225764864",""
