content,username,replyto,permalink,time
"A view of West Bank border on 'Nakba Day' as thousands of Palestinians are expected to protest along the Israel-Gaz…,https://www.,pscp.tv/w/bcrnVzF4a2pE,QmFkTlpvUXp8MVprS3pWZWtlV2VLdt3e0Sgu-ZjINZ1np6GTL7UPBbpRJ5ybw--I2M2w6kEN, ,…",Reuters,,https://twitter.com/Reuters/status/996398290932510721,1526394839
"They burn tires so no one can see their movements and who is shooting, throwing grenades/rocks or trying to breach the border.

This isn't a protest, this is a violent riot and sovereign country border abuse.

They can easily stop and no violence would happen.",justicenow503,Reuters,https://twitter.com/justicenow503/status/996398788695633922,1526394958
"Life is full of choices.

Acting like uncivilized savages in a modern civil world will lead to families starving and basic resources for human survival not being provided to the people... All in the name of politics and stupidity.,https://,twitter.com/WiredSources/s,tatus/996402531453554689?s=19, ,…",justicenow503,,https://twitter.com/justicenow503/status/996406062478577664,1526396692
"If people stop expecting other to provide all this to them but instead demand their own Gov. Help them and help themselves.

Demanding someone else provide for you will eventual mean fighting, as these people and Gov. are capable of doing this on their own but don't.",justicenow503,,https://twitter.com/justicenow503/status/996426900548468736,1526401660
"No weapons...?

You don't live in reality.

Hamas, their Gov. Is a terrorist group.

Keep spreading lies.  The world has live video now.  Those lies don't work.  I can see it before people in neighboring countries because of video and the internet.,https://,youtu.be/QMQ5MHqURno, ",justicenow503,,https://twitter.com/justicenow503/status/996429780529569792,1526402347
"The only difference between Palestinian concentration camp is that their bodies aren’t incinerated after gas, surely Netanyahu has future plans for that as well.",IRANisays,Reuters,https://twitter.com/IRANisays/status/996401152668258304,1526395521
Stupidity is strong with you! Are you really comparing this to what Jews went through in the holocaust? Gaza is all Muslims no Jews there!!! How they live today is due to their terrorist rulers. As is the genocide in Syria. What say u about that? Only ppl incinerating r Hamas,EyalDavid1,"IRANisays,Reuters",https://twitter.com/EyalDavid1/status/996409294278012929,1526397462
But Nikki Haley just said the move to Jerusalem promotes peace ,doha2kailua,Reuters,https://twitter.com/doha2kailua/status/996398949832450049,1526394996
It shows how peaceful those loving people are. Bless their souls for being so peaceful ,GodUhWar,"doha2kailua,Reuters",https://twitter.com/GodUhWar/status/996399939818156032,1526395232
"Palestinians are too busy making a living, only Hamas terrorists wander around looking to kill & destroy.",JIL153,Reuters,https://twitter.com/JIL153/status/996398897273720832,1526394983
"You must be referring to Iran, who’s currently sponsoring terrorists around the world.",JIL153,,https://twitter.com/JIL153/status/996404395234463744,1526396294
pic.twitter.com/Q3zbwRpW38,inter_expert2,Reuters,https://twitter.com/inter_expert2/status/996399017927077890,1526395012
"Protesters shout chants and carry signs - not molotov cocktails, guns & bombs - those are called terrorists.",PeterDawsonUSA,Reuters,https://twitter.com/PeterDawsonUSA/status/996399615959339008,1526395155
They are no palestinians! They are islamic terrorist from the arabic and african countries!!,FoxcampNordic,Reuters,https://twitter.com/FoxcampNordic/status/996402896123162624,1526395937
"If you crowd  any of God's creatures into a cage, and starve them from a viable existence, then poke a stick in the cage, what do you expect? The News never fails these days to be an onslaught of the absurd, again, heartsick. where is the logic? rocks vs AutomaticRifles, really?",edwardene0p,Reuters,https://twitter.com/edwardene0p/status/996401072267825153,1526395502
When will Peace be?,zabeth1959,Reuters,https://twitter.com/zabeth1959/status/996457301513928704,1526408908
"How ironic is it that Israel's act like Nazis! 
War-II Palestine under British mandate welcome European-Jews Refugees to build an International Model Holy-Homeland to: Jews, Christians n Muslims 
Jewish Radicalism to, War-III will blame & difame,not themselves",MaraBuieR,Reuters,https://twitter.com/MaraBuieR/status/996437353236443136,1526404152
Great day for a bit of rifle practice then,LordProtector73,Reuters,https://twitter.com/LordProtector73/status/996431547745095683,1526402768
It is not a border,Chuckw12,Reuters,https://twitter.com/Chuckw12/status/996426051151478784,1526401457
"Watch what happened at 21:42 in ,@,Reuters,:   A view of West Bank border on 'Nakba Day' as thousands of ,https://www.,pscp.tv/w/bcrsczFvTlFs,VlpHeGVqd1J8MVprS3pWZWtlV2VLdl8yaWjJKi64jcPQEOfkhVts1N52xiGR84C2VGPjby7e?t=21m42s, ,…",47_TheRedSash,Reuters,https://twitter.com/47_TheRedSash/status/996403979344142336,1526396195
It would be more effective if they protested at one of Trump's golf courses... that's the only thing he seems to give two shits about ,Gr8ful2day1,Reuters,https://twitter.com/Gr8ful2day1/status/996402474054369280,1526395836
Israel should arrest all Hamas and PA leadership and declare sovereignty over entire West Bank and establish military control over Gaza.  End this once and for all,Jay70nut,"Reuters,ELINTNews",https://twitter.com/Jay70nut/status/996401525894336514,1526395610
"https://,twitter.com/idfspokesperso,n/status/996398198716600320?s=21, ,…",DirkJurgasch,Reuters,https://twitter.com/DirkJurgasch/status/996401235891810304,1526395541
to protest... ,DirkJurgasch,Reuters,https://twitter.com/DirkJurgasch/status/996400912913625088,1526395464
"free those poor hamas from your conditioning, you are turning people into puppets for your need of attention, you ain't fooling anybody anymore ... ,#,Gaza, ,#,Fakenews",ismaelogando,Reuters,https://twitter.com/ismaelogando/status/996400885919047680,1526395458
You said invade wrong,FREERBUX,Reuters,https://twitter.com/FREERBUX/status/996400401820848130,1526395342
where is UN now,muba9233,Reuters,https://twitter.com/muba9233/status/996400045716058112,1526395257
I guess the revolution will be televised,MissngLnk,Reuters,https://twitter.com/MissngLnk/status/996399645248180224,1526395162
