content,username,replyto,permalink,time
"I'm gin-terviewing ,@,MikeRizzi, and ,@,MissFenderr, tomorrow so y'all should send in some weird (or not) questions we can answer.",realisticsay,,https://twitter.com/realisticsay/status/745038925098528768,1466466096
would you rather only be able to speak to Kaitlyn for the rest of your life or only speak pig Latin?,leatherpantsnat,"realisticsay,MikeRizzi,MissFenderr",https://twitter.com/leatherpantsnat/status/745055208380702725,1466469978
"who would give a better lap dance, Vladimir Putin or Barack Obama?",lifeaschicanx,"realisticsay,MikeRizzi,MissFenderr",https://twitter.com/lifeaschicanx/status/745039592789729282,1466466255
favourite thing about your cats?,bwaybauman,"realisticsay,MissFenderr,MikeRizzi",https://twitter.com/bwaybauman/status/745178641798029313,1466499407
favourite accent?,theamyblizzard,"realisticsay,MissFenderr,MikeRizzi",https://twitter.com/theamyblizzard/status/745143528401993729,1466491035
how many cats is too many?,megumi_sc,"realisticsay,MikeRizzi,MissFenderr",https://twitter.com/megumi_sc/status/745137790560526336,1466489667
what's your favourite TV show at the moment?,LisyEasy,realisticsay,https://twitter.com/LisyEasy/status/745122585671675905,1466486042
Tegan or Sara? (give reasons),LisyEasy,realisticsay,https://twitter.com/LisyEasy/status/745122453047808001,1466486011
what advice would you give your teen self?,JessicaRosey08,"realisticsay,MikeRizzi,MissFenderr",https://twitter.com/JessicaRosey08/status/745121200284676096,1466485712
is it possible to be too young to come out?,JessicaRosey08,"realisticsay,MikeRizzi,MissFenderr",https://twitter.com/JessicaRosey08/status/745118858747351041,1466485154
what are your honest thoughts on Homophobia and homophobic people?,JessicaRosey08,"realisticsay,MikeRizzi,MissFenderr",https://twitter.com/JessicaRosey08/status/745117981886160896,1466484945
why is my cat biting me?,JessicaRosey08,"realisticsay,MikeRizzi,MissFenderr",https://twitter.com/JessicaRosey08/status/745117503001485317,1466484830
why did the chicken cross the road?,JessicaRosey08,"realisticsay,MikeRizzi,MissFenderr",https://twitter.com/JessicaRosey08/status/745117323107827712,1466484788
what is the word that you most often use or say?,JessicaRosey08,"realisticsay,MikeRizzi,MissFenderr",https://twitter.com/JessicaRosey08/status/745117225669918720,1466484764
what is the meaning of life?,JessicaRosey08,"realisticsay,MikeRizzi,MissFenderr",https://twitter.com/JessicaRosey08/status/745117085785698305,1466484731
pancakes or waffles?,JessicaRosey08,"realisticsay,MikeRizzi,MissFenderr",https://twitter.com/JessicaRosey08/status/745116999903121409,1466484711
If you could change anything in the world right now what would it be?,JessicaRosey08,"realisticsay,MikeRizzi,MissFenderr",https://twitter.com/JessicaRosey08/status/745116857854627840,1466484677
What time is party time?,JessicaRosey08,"realisticsay,MikeRizzi,MissFenderr",https://twitter.com/JessicaRosey08/status/745116717970403328,1466484643
Have any of you ever been stopped by the police? Why?,NaomiPenner,"realisticsay,MikeRizzi,MissFenderr",https://twitter.com/NaomiPenner/status/745106640773341187,1466482241
Fight btwn SmarterChild and Siri- who wins?,ohtrisarahtops,"realisticsay,MikeRizzi,MissFenderr",https://twitter.com/ohtrisarahtops/status/745099318508453889,1466480495
opinions on ducks?,KeeganCoombs,"realisticsay,MikeRizzi,MissFenderr",https://twitter.com/KeeganCoombs/status/745062059788935168,1466471612
what is the weirdest thing you do or routine you have when you're home alone???,TheatreGeek17,"realisticsay,MikeRizzi,MissFenderr",https://twitter.com/TheatreGeek17/status/745058801393369090,1466470835
"when you went to pride for the first time, what was it like?",drnkapple,"realisticsay,MikeRizzi,MissFenderr",https://twitter.com/drnkapple/status/745056948639383552,1466470393
did you watch season 4 of Orange Is The New Black?,lynnscvlt,"realisticsay,MikeRizzi,MissFenderr",https://twitter.com/lynnscvlt/status/745053556617650176,1466469584
what fictional world would you wanna live in?,bibsi_14,"realisticsay,MikeRizzi,MissFenderr",https://twitter.com/bibsi_14/status/745042686445502464,1466466993
moose with the rainbow flag or rainbow flag with the moose,kelliphants,"realisticsay,MikeRizzi,MissFenderr",https://twitter.com/kelliphants/status/745042251462631425,1466466889
what's the weirdest thing you did in high school,spacedout_sam,"realisticsay,MikeRizzi,MissFenderr",https://twitter.com/spacedout_sam/status/745041915683311620,1466466809
"What're your Hogwarts houses? , Try and guess each other's?",eviee97_,"realisticsay,MikeRizzi,MissFenderr",https://twitter.com/eviee97_/status/745039638717292545,1466466266
"are butts vegan? , ,#,AskMissRizzi",ry200455665,realisticsay,https://twitter.com/ry200455665/status/745039375965118465,1466466204
